population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,1994,26291.921927579966,35435.89258145028,18961.63361413795
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,81111.05462301304,100164.79936583394,62026.60264567671
1,All Population,2,DALYs (Disability-Adjusted Life Years),4875,West Bengal,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,113815.67600127129,138574.8640581712,90378.82888950754
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,175612.3471369118,218546.9499855267,135162.72502043872
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,22598.892367756598,28922.322190852676,16270.988291962385
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,9424.22746042029,13246.12147202106,6024.689843571312
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,1113.8384210210324,1584.616598089028,699.0181289811783
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,1994,1627.1795134216536,2448.4391595634615,984.9506372843275
1,All Population,2,DALYs (Disability-Adjusted Life Years),44538,Other Union Territories,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,4452.206956215916,6146.052682047125,2899.910833930091
1,All Population,2,DALYs (Disability-Adjusted Life Years),4851,Gujarat,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,147825.3408318128,178317.90979415906,118861.98380983708
1,All Population,2,DALYs (Disability-Adjusted Life Years),4851,Gujarat,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,18041.72075882613,22920.782021903,14035.985695440651
1,All Population,2,DALYs (Disability-Adjusted Life Years),4851,Gujarat,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,1994,23969.35236201892,31248.91200590119,18032.411668480112
1,All Population,2,DALYs (Disability-Adjusted Life Years),4851,Gujarat,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,70439.10901943399,86528.71432174623,55541.68871263373
