population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1994,538137858.4294084,569438401.0523343,510363355.0453097
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1994,58970.8936945445,62400.908778384335,55927.27343845857
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1995,541105724.1484272,573243812.9202293,512691128.0749413
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1995,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1995,58107.38032209672,61558.57306271559,55056.0399517111
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,3,Both,22,All ages,294,All causes,1,Number,1994,9176247.043455642,10169063.076895185,8335363.919852827
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4857,Kerala,3,Both,22,All ages,294,All causes,3,Rate,1994,29824.881882890943,33051.75892625611,27091.82121876501
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,1,Number,1994,26416361.882493023,27996001.70430833,24913642.747636985
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,3,Rate,1994,60573.23023849825,64195.37499281176,57127.4661115404
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1996,542632410.4195215,576199390.4644903,516457389.9404
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1996,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1996,57102.91273216804,60635.27146228591,54348.433122248665
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,1,Number,1994,23652785.183616813,25326735.87984205,22058954.12707788
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,3,Rate,1994,48970.860438308395,52436.61744278307,45670.98358972176
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,1,Number,1994,28787318.06470641,31144171.246288694,26719349.378368445
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,3,Rate,1994,48471.94542256954,52440.40328758781,44989.90985835178
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1997,540904512.2670524,574162979.7899771,511658952.81184006
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1997,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1997,55787.39125481394,59217.577356350645,52771.0853620128
1,All Population,2,DALYs (Disability-Adjusted Life Years),4871,Telangana,3,Both,22,All ages,294,All causes,1,Number,1994,17995950.89918665,19196905.126886915,17011521.18821131
1,All Population,2,DALYs (Disability-Adjusted Life Years),4871,Telangana,3,Both,22,All ages,294,All causes,2,Percent,1994,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4871,Telangana,3,Both,22,All ages,294,All causes,3,Rate,1994,62860.75077211621,67055.7435690569,59422.08887195047
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,1,Number,1995,23688815.314630765,25531913.339640897,22031063.3063826
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,2,Percent,1995,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,3,Rate,1995,48174.3840406297,51922.57114505304,44803.12292736722
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,1,Number,1995,26249904.857792836,28067718.24716292,24738538.568754673
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,2,Percent,1995,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,3,Rate,1995,59254.02543053166,63357.38357164582,55842.41167380868
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,1,Number,1995,28732919.586104527,31153164.597117532,26743334.475156877
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,2,Percent,1995,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4870,Tamil Nadu,3,Both,22,All ages,294,All causes,3,Rate,1995,47796.27843683544,51822.27739893479,44486.6682299206
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1998,537848094.0156069,570660974.4230561,507059622.8089653
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1998,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1998,54378.290925534166,57695.78591483362,51265.47066446877
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,1,Number,1999,528585763.91889024,564092028.4091337,498659826.6205909
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,2,Percent,1999,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,294,All causes,3,Rate,1999,52395.67948570153,55915.21213480792,49429.29271174472
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,1,Number,1996,23854423.48702375,25671526.607098058,22284739.38198403
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,2,Percent,1996,1.0,1.0,1.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),4856,Karnataka,3,Both,22,All ages,294,All causes,3,Rate,1996,47657.343259325826,51287.62622039088,44521.364129782836
