population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4857,Kerala,3,Both,22,All ages,997,Chronic kidney disease due to diabetes mellitus type 1,1,Number,1994,232.7912578489243,390.1885421989723,96.07974875148692
1,All Population,1,Deaths,4857,Kerala,3,Both,22,All ages,998,Chronic kidney disease due to diabetes mellitus type 2,1,Number,1994,821.2480717140793,1378.536260793891,307.19311266933505
1,All Population,1,Deaths,4859,Madhya Pradesh,3,Both,22,All ages,997,Chronic kidney disease due to diabetes mellitus type 1,1,Number,1994,216.34709012710232,339.6400075863989,136.55545366382685
1,All Population,1,Deaths,4859,Madhya Pradesh,3,Both,22,All ages,998,Chronic kidney disease due to diabetes mellitus type 2,1,Number,1994,636.7950021695798,934.258570633994,411.5634935231788
1,All Population,1,Deaths,4846,Chhattisgarh,3,Both,22,All ages,997,Chronic kidney disease due to diabetes mellitus type 1,1,Number,1994,91.02335242566595,143.82772910503658,56.21347195206439
1,All Population,1,Deaths,4846,Chhattisgarh,3,Both,22,All ages,998,Chronic kidney disease due to diabetes mellitus type 2,1,Number,1994,272.18170272531813,394.67660061573775,174.9542975937197
1,All Population,1,Deaths,4860,Maharashtra,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,2698.100649396712,3608.4661819350413,1890.5290499618957
1,All Population,1,Deaths,4861,Manipur,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,125.61582610579092,172.56111036669262,84.60026721389072
1,All Population,1,Deaths,4861,Manipur,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,20.443318883674916,29.477798735931213,12.911617615736596
1,All Population,1,Deaths,4861,Manipur,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,1994,17.15439421105385,25.07561837072056,11.664608687868515
1,All Population,1,Deaths,4861,Manipur,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,51.1665467023993,69.70647426633946,35.314611314236664
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,83.4082253579577,114.17313279092761,59.53956302128619
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,12.534443726523536,18.054165706910624,8.371899138581838
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,1994,12.317344160625165,17.18517784699415,8.341404279682266
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,1994,35.244968660626085,47.3989486848637,24.611327109974905
1,All Population,1,Deaths,4841,Andhra Pradesh,3,Both,22,All ages,589,Chronic kidney disease,1,Number,1994,3979.5478340689415,5232.125899584063,2807.4265308926647
1,All Population,1,Deaths,4841,Andhra Pradesh,3,Both,22,All ages,591,Chronic kidney disease due to hypertension,1,Number,1994,642.8245160342067,874.1320051085928,404.83435977506844
1,All Population,1,Deaths,4874,Uttarakhand,3,Both,22,All ages,997,Chronic kidney disease due to diabetes mellitus type 1,1,Number,1994,42.14804397800818,64.17120749782434,27.5459168107207
1,All Population,1,Deaths,4874,Uttarakhand,3,Both,22,All ages,998,Chronic kidney disease due to diabetes mellitus type 2,1,Number,1994,125.70995970657367,175.17176389534592,84.9315805110446
