"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"andhrapradesh",1990,21.4,31.8,20.7,31.1,15.4,30.4,24.9,37.8,15.1,28.7,0.6,15.2
"andhrapradesh",1991,20.7,33.3,20,32.8,15.3,30.9,24.8,39.3,14.9,29.1,0.6,14.6
"andhrapradesh",1992,20.2,33,19.3,32.6,14,31,24.4,39.2,13.7,29.2,0.6,15.8
"andhrapradesh",1993,20.5,33.7,19.6,33.1,14.5,31.1,25,39.9,14.2,29.3,0.6,15
"andhrapradesh",1994,20.5,33.6,19.7,33,14.7,31.1,24.7,39.8,14.3,29.6,0.6,14.7
"andhrapradesh",1995,20.9,33.2,20.3,33.2,15.3,31.7,24.8,39.1,14.9,29.4,0.6,14.1
"andhrapradesh",1996,21,33.7,20.2,33,15.4,31,25,40.3,15,29.2,0.6,15
"andhrapradesh",1997,21.4,33.2,20.6,32.5,16.1,31.2,24.8,39.4,15.7,29.5,0.6,15.2
"andhrapradesh",1998,20.9,34.2,20,33.6,15.4,31.9,25.4,40.5,14.9,30.4,0.6,14.1
"andhrapradesh",1999,20.4,32.7,19.5,32,14.5,31,25,39.1,14.1,29.1,0.6,15.3
"andhrapradesh",2000,20.8,32.8,19.9,32.2,14.5,31.1,25,38.9,14,29.3,0.6,15.4
"andhrapradesh",2001,21.2,33.5,20.4,32.9,15.2,31.4,25,39.3,14.8,29.8,0.6,15.3
"andhrapradesh",2002,21.2,33.6,20.3,33.1,15.2,31.9,25,39.5,14.8,29.7,0.6,15.2
"andhrapradesh",2003,21.2,34.8,20.4,34.2,15.4,32,24.9,41,15,29.8,0.5,14.5
"andhrapradesh",2004,20.9,32.6,20,32.1,14.8,30.8,24.9,39.1,14.5,29.1,0.6,15.5
"andhrapradesh",2005,20.7,33.7,19.8,33,14.8,31.1,24.9,39.9,14.4,29.9,0.6,15.3
"andhrapradesh",2006,21.1,32.9,20.2,32.3,15.1,30.8,25.2,39.1,14.8,29.3,0.6,15.5
"andhrapradesh",2007,21.4,33.4,20.5,32.7,15.3,30.9,25.2,39.6,15.1,29.6,0.6,15.2
"andhrapradesh",2008,21.5,33.3,20.5,32.5,15.5,30.9,25.1,39.8,15.2,29.4,0.6,15.4
"andhrapradesh",2009,21.8,33.6,21,32.8,16.3,31.3,25.3,40,16,29.5,0.6,15.4
"andhrapradesh",2010,20.9,34.2,20,33.3,15.7,31.2,24.9,40.6,15.3,29.9,0.6,14.5
"andhrapradesh",2011,21.1,32.8,20.1,32,15,30.6,25.1,39.1,14.7,29.4,0.6,15.6
"andhrapradesh",2012,21.3,34.1,20.3,33.2,15.8,31.7,24.8,40.4,15.5,30,0.6,15.7
"andhrapradesh",2013,21.2,33.6,20.2,32.7,15.8,30.8,25.1,40.2,15.5,29.6,0.6,14.6
"andhrapradesh",2014,21.5,33.4,20.4,32.6,16.2,31.1,25.1,39.9,15.8,29.8,0.6,14.5
"andhrapradesh",2015,21.9,33.3,20.7,32.4,16.7,31.5,25.3,39.6,16.3,29.5,0.6,14.6
"andhrapradesh",2016,21.9,34.5,20.7,33.4,16,31.9,25.6,40.8,15.7,30,0.6,14.9
"andhrapradesh",2017,21.8,34.3,20.6,33.3,16.1,31.6,25.3,40.7,15.8,29.9,0.6,14.9
"andhrapradesh",2018,21.7,33.5,20.6,32.6,16.1,31.2,24.8,39.6,15.7,29.4,0.6,15.1
"andhrapradesh",2019,21.7,34.8,20.7,33.9,16.6,31.8,25,41,16.1,30.1,0.6,14.3
"andhrapradesh",2020,21.9,33.2,21,32.4,17.1,31,25.3,39.2,16.8,29.5,0.6,13.5
"andhrapradesh",2021,22.1,32.3,21.1,31.5,17.2,30.8,25.4,38.3,16.8,29.3,0.6,14.4
"andhrapradesh",2022,21.8,33.3,20.8,32.3,16.7,30.7,25.2,39.6,16.4,29.2,0.6,14.1
"andhrapradesh",2023,22,33.5,21,32.6,16.6,31.7,25.4,39.8,16.3,30.1,0.6,15
"andhrapradesh",2024,22.4,33.7,21.5,32.9,17.9,31.5,25.6,40.2,17.6,29.8,0.6,13.8
"andhrapradesh",2025,21,32.4,19.8,31.5,15.5,30.7,25.2,38.4,15.2,29.5,0.6,14.7
