"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"arunachalpradesh",1990,-11.4,27.7,-11.8,27.6,-17.4,26,-5.9,31,-18,25.2,2.1,15.6
"arunachalpradesh",1991,-13.2,27.6,-13.7,27.5,-19.3,26.1,-7.2,31,-20.2,25.2,2.1,16.2
"arunachalpradesh",1992,-14.3,27.6,-14.8,27.4,-20.8,25.8,-7.9,31.2,-21.4,24.9,2.6,16.7
"arunachalpradesh",1993,-11.7,27.7,-12.1,27.5,-17.9,26,-6,31.2,-18.6,25.2,2.3,16.2
"arunachalpradesh",1994,-12.4,28.5,-12.7,28.4,-19.1,26.6,-6.4,32.2,-19.7,25.5,2.8,16.7
"arunachalpradesh",1995,-13,27.9,-13,27.7,-19.1,26.1,-7.7,31.3,-20,25.2,2.3,15.8
"arunachalpradesh",1996,-12.7,27.8,-13,27.6,-19.3,26,-6.8,31.4,-20,25,2.3,16.2
"arunachalpradesh",1997,-13.6,27.6,-14,27.4,-19.7,25.9,-8,31.1,-20.4,24.9,2.4,15.5
"arunachalpradesh",1998,-12.2,28,-12.6,27.9,-18.1,26.4,-6.7,31.5,-18.7,25.5,2.3,15.6
"arunachalpradesh",1999,-11.4,28,-11.8,27.9,-18.1,26.3,-5,31.8,-18.8,25.2,2.3,17
"arunachalpradesh",2000,-13.3,27.7,-13.5,27.6,-19.7,26.1,-7.6,31.2,-20.3,25.2,2.3,16.3
"arunachalpradesh",2001,-11,28.2,-11.3,28,-17.5,26.4,-5.3,31.7,-18.2,25.5,2.6,16.1
"arunachalpradesh",2002,-12.2,27.8,-12.6,27.7,-18.9,26,-6,31.5,-19.5,25.1,2.2,16.5
"arunachalpradesh",2003,-12.4,27.8,-12.7,27.6,-18.7,26.2,-6.8,31.1,-19.4,25.3,2.3,16.1
"arunachalpradesh",2004,-13.3,27.6,-13.7,27.4,-20.2,25.9,-7.1,31,-20.8,25,2.1,16.6
"arunachalpradesh",2005,-11.5,28.3,-11.7,28.2,-17.3,26.4,-6.1,31.9,-18.1,25.5,2.4,15.4
"arunachalpradesh",2006,-11.6,28.6,-12,28.5,-18.6,26.6,-5.1,32.5,-19.2,25.5,2.6,16.8
"arunachalpradesh",2007,-12.7,28.3,-13.1,28.3,-19.4,26.5,-6.6,32.3,-20,25.2,2.1,16.9
"arunachalpradesh",2008,-12.4,27.8,-12.9,27.7,-18.4,26.1,-6.9,31.8,-19.1,25.2,2.4,16.1
"arunachalpradesh",2009,-11.5,28.5,-12,28.4,-17.6,26.6,-5.4,32.6,-18.3,25.6,2.6,16.3
"arunachalpradesh",2010,-11.9,27.8,-12.5,27.6,-18.4,26.3,-5.1,31.3,-19.1,25.5,2.3,17.1
"arunachalpradesh",2011,-11.2,28.4,-11.7,28.3,-17.8,26.6,-4.9,32.6,-18.4,25.5,2.8,17.3
"arunachalpradesh",2012,-11.7,28.4,-12,28.2,-17.9,26.4,-5.8,32.4,-18.5,25.5,2.3,16.7
"arunachalpradesh",2013,-11.4,28.8,-12,28.5,-18.5,26.8,-4.8,32.9,-19.1,25.8,2.9,17.8
"arunachalpradesh",2014,-10.5,28.8,-11,28.6,-17,26.8,-4.1,33.1,-17.6,25.9,2.5,17
"arunachalpradesh",2015,-11.8,28.5,-12.5,28.4,-18.2,26.6,-5.2,32.4,-18.8,25.6,2.4,16.5
"arunachalpradesh",2016,-10.6,28.9,-11.1,28.8,-16.9,27,-4.4,32.7,-17.6,26,2.4,16.4
"arunachalpradesh",2017,-9.8,29,-10.3,28.8,-15.7,27,-3.9,32.9,-16.4,26.1,2.4,16.4
"arunachalpradesh",2018,-10.6,28.9,-11.2,28.7,-16.6,27,-4.8,32.7,-17.3,26.2,2.5,16.2
"arunachalpradesh",2019,-12.8,29,-13.4,28.8,-18.7,26.9,-6.4,33,-19.4,26,2.2,16.3
"arunachalpradesh",2020,-11.7,28.6,-12.2,28.4,-17.4,26.7,-5.9,32.7,-18.2,26,2.1,16.2
"arunachalpradesh",2021,-9.8,29.2,-10.3,29.1,-15.8,26.9,-3.9,33.8,-16.5,26.1,2.4,16.2
"arunachalpradesh",2022,-12.8,29,-13.1,28.7,-18.8,26.8,-7,33.4,-19.5,26,2.1,16.9
"arunachalpradesh",2023,-10.1,29.3,-10.7,29.2,-16.4,27,-3.9,33.6,-17,26.3,2.3,16.6
"arunachalpradesh",2024,-11.5,29.7,-12,29.5,-17.6,27.3,-5.3,33.8,-18.2,26.5,2.3,16.5
"arunachalpradesh",2025,-8.4,29.3,-8.9,29,-13.9,27.1,-3.3,33.4,-14.5,26.3,2.6,16.1
