"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"assam",1990,0.5,29,0.3,28.9,-3.4,27.9,5.2,33.2,-4.6,26.1,2.6,13.9
"assam",1991,-0.1,28.9,-0.4,28.8,-3.9,28.1,4.6,33.4,-4.9,26.2,2.5,14.9
"assam",1992,-0.4,29.4,-0.6,29.3,-4.4,28.2,4.4,34.5,-5.5,26,3.1,14.6
"assam",1993,0.3,29,0.1,28.9,-3.3,27.9,5,33.1,-4.4,26.2,2.5,14.7
"assam",1994,0,29.6,-0.3,29.4,-4.1,28.7,5,34.2,-5.1,26.3,3.2,15
"assam",1995,0.1,29.5,0,29.3,-3.7,28.8,4.6,34.9,-5,26.3,2.5,15.6
"assam",1996,0.5,29.5,0.2,29.3,-3.4,28.4,5.2,34.3,-4.3,26.1,2.7,15
"assam",1997,-1.2,29.1,-1.4,28.9,-4.9,28.1,3.7,33.6,-6.3,26.1,2.8,14.7
"assam",1998,1,29.4,0.6,29.2,-3,28.7,6,33.6,-3.9,26.3,2.6,14.6
"assam",1999,1.6,29.4,1.1,29.2,-2.6,28.5,6.8,34.5,-3.6,26,2.7,16.2
"assam",2000,-0.2,29,-0.4,28.9,-4.1,28.3,4.8,33.5,-5.1,26.1,2.6,14.8
"assam",2001,0.8,29.4,0.6,29.2,-3.2,28.6,5.8,33.8,-4.2,26.3,3,15.3
"assam",2002,0.4,29,0.1,28.8,-3.7,28.2,5.5,33.5,-4.7,26,2.5,14.9
"assam",2003,0.4,29.4,0.2,29.3,-3.6,28.6,5.4,33.7,-4.6,26.4,2.8,14.8
"assam",2004,0.3,29.1,0,28.9,-3.7,28.2,5.2,33.4,-4.8,26.2,2.3,15
"assam",2005,0.6,29.8,0.4,29.7,-3,28.8,5.4,34.2,-4.1,26.6,2.9,14.3
"assam",2006,1.2,29.8,0.9,29.7,-2.8,29.1,6.2,34.8,-3.9,26.5,3.1,15.4
"assam",2007,1,29.8,0.7,29.6,-3.1,28.8,6,34.6,-4.1,26.5,2.2,15.4
"assam",2008,0.7,29.3,0.4,29.1,-3,28.2,5.7,34.1,-4.1,26.3,2.9,14.7
"assam",2009,1.5,30.1,1.2,29.9,-2.5,29.1,6.6,34.9,-3.6,26.8,3,15.9
"assam",2010,1.7,29.7,1.4,29.4,-2.3,28.7,7,34.6,-3.3,26.7,2.7,16.3
"assam",2011,3.2,29.7,2.8,29.5,-0.7,28.9,8.5,34.2,-1.6,26.5,2.9,16.1
"assam",2012,2.8,30,2.4,29.9,-1.3,29.1,8,34.9,-2.4,26.7,2.8,16.4
"assam",2013,3.3,30.1,3,29.9,-1,29.3,9,35.1,-1.9,26.7,3.3,17
"assam",2014,3.7,30.2,3.4,30,-0.2,29.3,9,35.6,-1.2,26.9,2.9,16.4
"assam",2015,3.5,29.9,3.4,29.8,-0.4,28.7,8.8,34.6,-1.2,26.9,2.7,15.4
"assam",2016,4.5,30.2,4.3,30,0.6,29.1,9.7,34.7,-0.1,27.1,2.9,14.6
"assam",2017,4.4,30.1,4.1,29.9,0.2,28.9,9.9,34.5,-0.5,27.1,2.7,15.7
"assam",2018,3.4,30.2,3,29.9,-0.6,29,9,34.5,-1.5,27.2,3.1,14.9
"assam",2019,3.4,30.7,3.2,30.6,-0.6,29,8.7,35.5,-1.4,27.4,2.7,15.5
"assam",2020,3,30.1,2.8,30,-0.8,29,8.5,35,-1.6,27.2,2.6,15.2
"assam",2021,3.9,30.4,3.6,30.3,0.1,29.1,9.2,35.7,-0.6,27.1,3,15.7
"assam",2022,3.5,30.4,3.2,30.2,-0.5,29,8.9,35.2,-1.3,27.3,2.8,15.7
"assam",2023,4,31,3.6,30.9,-0.1,29.3,9.5,36.3,-0.7,27.5,2.8,15.6
"assam",2024,3.7,31.2,3.2,31.1,0,29.5,8.9,36.6,-0.6,27.6,2.7,15.2
"assam",2025,4.9,30.6,4.4,30.4,1.1,29.2,10.1,35.7,0.5,27.3,3.1,14.9
