"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"bihar",1990,12.8,32.9,12.3,32.4,7.1,30.8,19.3,40.2,6.7,27.8,3.4,16.8
"bihar",1991,12.6,33.1,11.9,32.7,6.7,31.5,18.2,40.3,6.4,28,3.7,17.2
"bihar",1992,12.7,34,12.1,33.6,7.3,31.9,18.8,41.3,6.8,28.2,4.2,17.2
"bihar",1993,12.9,32.9,12.2,32.6,7.3,31.5,18.8,39.3,6.9,28.1,3.5,17
"bihar",1994,13.5,34.3,12.9,34,7.4,32.1,19,41,7,28.3,3.9,17
"bihar",1995,13,35.8,12.6,35.7,7,33.2,18.6,43.1,6.5,29.1,3.6,17.8
"bihar",1996,13.7,34.5,12.8,34.2,8.1,32.4,18.9,41.5,7.7,28.4,3.5,17.6
"bihar",1997,12.5,34.1,11.9,33.7,7.2,31.5,17.6,40.9,6.7,27.9,3.5,16.9
"bihar",1998,12.8,35.6,11.8,35.3,7.7,32.4,18.4,41.6,7.3,29.3,3.3,15.8
"bihar",1999,12.8,33.8,12.1,33.2,7.6,31.6,18.9,41,7.2,27.8,3.3,17.4
"bihar",2000,13,32.4,12.2,32,7.5,31.8,19,39.2,7,27.7,3.7,17.3
"bihar",2001,12.6,32.3,11.8,31.8,6.7,32,19,39.5,6.3,27.6,3.5,17.8
"bihar",2002,13.5,33.1,13,32.6,8.2,32.2,18.9,39.3,7.7,28.1,3.5,15.9
"bihar",2003,10.8,34.1,10,33.8,6.2,32,16.6,41.1,5.9,28.2,3.5,16.1
"bihar",2004,12.2,34,11.4,33.4,7.6,31.7,17.8,41.2,7.2,28.1,4.1,16.6
"bihar",2005,14.2,35.7,13.3,35.2,8.5,32.1,19.1,42.8,8.1,29.1,3.6,16.9
"bihar",2006,13.9,32.8,12.7,32.4,8.1,31.9,20.1,40,7.8,28.1,3.5,17
"bihar",2007,13.3,33.7,12.4,33.1,7.4,31.9,19.1,40.9,7.2,28.2,3.1,16
"bihar",2008,13.5,33.2,12.7,32.5,7.9,31.1,18.8,40.9,7.5,27.6,3.5,16.7
"bihar",2009,14.1,34.4,13.2,33.9,8.5,32.2,20.1,41.8,8.2,28.5,4,17
"bihar",2010,12.9,35.3,11.8,34.8,7.7,32.6,19.1,42.6,7.4,28.9,4.1,17.6
"bihar",2011,9.6,32.4,9.1,32,4.8,31.5,14.6,38.8,4.3,27.8,3.6,17
"bihar",2012,9.5,35.5,9.5,35,4.5,32.2,14.8,42.8,3.6,29.5,3.7,17.1
"bihar",2013,9.5,32.8,8.9,32.4,4,32,15.2,39.8,3.5,28.1,3.5,16.8
"bihar",2014,10,34.4,9.8,33.8,5.5,31.9,15.2,41.3,4.7,28.5,3.9,16.8
"bihar",2015,9.9,34.1,9.8,33.4,5.2,31.6,14.9,40.5,4.5,28.9,3.7,15.6
"bihar",2016,10.7,34,10.4,33.2,6.1,31.7,15.7,41.3,5.4,28.5,3.5,16.6
"bihar",2017,10.7,33.3,10.3,32.6,5.8,31.6,16.2,40.2,5.2,28.6,3.5,16.3
"bihar",2018,9.6,33.7,9.3,33,5.1,31.9,15.1,40,4.3,29.2,3.8,16.5
"bihar",2019,9.4,34.8,9,34.1,4.8,32.2,15,41.7,4.1,29.2,3.5,16.3
"bihar",2020,9.7,31.7,9.5,31.2,5.2,30.9,14.8,37.6,4.5,28.3,3,16
"bihar",2021,10.3,31.6,10.1,31.3,5.7,31.1,15.5,38.5,5.1,28,3.1,16.9
"bihar",2022,10.3,33.4,10.1,32.9,6,32.2,15.3,40.5,5.3,29.1,3.9,15.9
"bihar",2023,10.5,34.8,10,34.2,5.9,32.8,15.8,41.4,5.2,29.4,3.3,16.2
"bihar",2024,10.4,34.9,10,34.3,5.6,33.1,15.5,41.2,5,29.9,3.3,16
"bihar",2025,11.1,33.2,10.8,32.8,6.7,31.9,15.7,39.2,6.1,28.8,3,16
