"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"chhattisgarh",1990,17.1,33,16.2,32.4,10.8,30.2,23.4,39.9,10.5,27.4,2.1,16.8
"chhattisgarh",1991,15.9,35,15,34.5,10,31.7,22,41.9,9.7,28.7,2,16.2
"chhattisgarh",1992,15.8,34.5,14.7,34,9.2,32.5,23,41.2,9,28.3,2.3,17.3
"chhattisgarh",1993,16.2,35.2,15,34.6,9.5,31.9,23.4,42.1,9.3,28.7,2.4,17
"chhattisgarh",1994,16.5,35.1,15.5,34.5,10.3,31.7,23.1,41.7,10,28.8,1.9,16.7
"chhattisgarh",1995,16.3,35.2,15.6,35,10.3,32.8,21.6,41.8,9.9,28.8,2.3,16.3
"chhattisgarh",1996,15.9,35.2,14.9,34.8,9.5,32.7,23.1,42,9.2,28.8,2.4,17.1
"chhattisgarh",1997,15.5,34.2,14.7,33.8,9.8,31.4,21.1,40.6,9.4,28.3,2.3,17.1
"chhattisgarh",1998,16.1,36.2,14.8,35.7,9.9,32.5,22.1,42.8,9.6,30.1,2.3,16.2
"chhattisgarh",1999,15.8,34.8,14.6,34,9.4,32.5,23.1,42.3,9.1,28.3,2.2,17.9
"chhattisgarh",2000,16.4,34.3,15.1,33.6,9.5,31.8,23.4,41.2,9.3,28.3,2.2,17.6
"chhattisgarh",2001,16.5,34.2,15.2,33.7,9.9,31.6,23.4,41.2,9.6,28.2,2,17.6
"chhattisgarh",2002,16.7,35.4,15.6,34.7,10.4,32.9,23.6,42.4,10,29,2.3,17.1
"chhattisgarh",2003,16.1,36.5,15,36,9.8,33,22.4,43,9.4,29.9,1.9,16.8
"chhattisgarh",2004,16.3,34.4,15.1,33.7,10.1,32,23.1,41,9.8,28.6,2.3,17.6
"chhattisgarh",2005,16.2,36,14.9,35.4,9.9,33.1,22.9,42.7,9.6,29.8,2,16.9
"chhattisgarh",2006,17.2,33.6,15.8,32.9,10.7,31.6,24,40.3,10.4,28.1,2,17.4
"chhattisgarh",2007,16.8,34.6,15.6,33.9,10.7,31.7,23.9,41.1,10.3,28.8,2.3,16.9
"chhattisgarh",2008,16.8,34.3,15.7,33.7,10.4,31.7,23.2,41.5,10.1,28,2.4,17.7
"chhattisgarh",2009,17.3,35.5,16.2,34.9,11.3,33.7,24.2,42.5,10.9,29.2,2.5,17.8
"chhattisgarh",2010,15.7,35.9,14.4,35.2,9.4,33.4,22.3,42.9,9,29.7,2.2,17.2
"chhattisgarh",2011,15.7,33.8,14.5,33.1,8.9,31.4,23.5,40.3,8.5,28.1,2.4,17.6
"chhattisgarh",2012,15.7,36.1,14.6,35.5,9.3,33.2,22.2,42.8,8.9,29.6,2.1,17.7
"chhattisgarh",2013,16.3,35.4,14.9,34.7,10,31.7,23.4,42.4,9.7,28.7,2.1,17.4
"chhattisgarh",2014,15.8,34.5,14.6,33.8,10,31.8,22.2,41.5,9.7,28.6,2.3,16.7
"chhattisgarh",2015,16.1,34.9,14.9,33.9,10.3,31.9,22.4,41.9,9.9,29.1,2.9,16
"chhattisgarh",2016,16.8,35.3,15.3,34.2,10.6,32.7,24.2,42.1,10.3,29.6,2.4,16.6
"chhattisgarh",2017,17.1,35.5,15.8,34.6,10.8,32.6,24.3,42.5,10.5,29.6,2.8,16.9
"chhattisgarh",2018,15.8,34.3,14.7,33.3,9.7,32,22.8,41,9.3,28.9,2.1,17
"chhattisgarh",2019,15.9,35.9,14.8,34.9,10,32.8,22.3,42.6,9.6,29.9,2.2,16.1
"chhattisgarh",2020,15.8,33,14.9,32.2,10.3,31.1,21.6,39.5,9.9,27.8,2.5,15.8
"chhattisgarh",2021,16.7,32.6,15.4,31.8,10.7,31.2,23.6,39.5,10.3,27.7,2.6,16.9
"chhattisgarh",2022,16.4,34.9,15.1,33.8,10.6,32.3,22.7,41.9,10.3,29.2,2.4,16.5
"chhattisgarh",2023,16.8,34.7,15.4,33.8,11,32.1,23.3,41.3,10.7,29,2.4,17
"chhattisgarh",2024,16.9,34.7,15.5,33.8,11,32.2,23.3,41.3,10.6,29.3,2.3,15.8
"chhattisgarh",2025,15.8,33.1,14.2,32.2,9.7,31.1,23.7,39.9,9.4,28.1,2.3,17.2
