"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"delhi",1990,12.4,35.7,10.9,35.4,7.3,34.5,18.6,41.9,6.7,30.1,4.3,17.1
"delhi",1991,11,36.1,9.7,35.7,5.3,35.3,17.7,42,5.1,31,4.9,17.3
"delhi",1992,12.5,35.9,11.3,35.4,7.1,34,18.8,42.5,6.8,30.6,4.2,16.6
"delhi",1993,12.3,36.7,10.7,36.3,6.4,36.3,18.4,43.8,6.2,29.8,4.4,17.1
"delhi",1994,12.7,36.6,10.9,36.1,7.2,33.2,17.9,43.5,7.1,29,4.1,17.4
"delhi",1995,12.2,38.1,11,37.4,7,37,17.3,45,6.7,32.2,3.9,16.8
"delhi",1996,12.4,34.6,10.6,33.8,6,33.1,19.7,41.8,5.8,28.2,3.9,18.2
"delhi",1997,10.6,33.9,9.4,33.4,5.7,32.9,15.7,40.4,5.5,28.3,4.7,16.7
"delhi",1998,11.4,36.7,9.6,35.9,5.9,35.4,18.5,44.3,5.5,30.2,4.3,17.1
"delhi",1999,11,35.7,10.1,35.3,6.7,35,16.1,42.7,6.6,30.6,4.5,18.3
"delhi",2000,12,35.9,10.4,35.5,6.6,35.4,18.1,42.1,6.4,30.7,4.8,18.2
"delhi",2001,10.8,34.9,9.4,34.2,5.9,34.4,17,42,5.7,28.8,5,17.3
"delhi",2002,12.2,36.8,10.7,36.2,6.8,36.8,18.9,44,6.5,31.8,4.7,17.5
"delhi",2003,9.2,36.4,8.3,35.7,5.2,34.4,15.1,42.7,4.8,30,3.9,16.9
"delhi",2004,12,36.3,10.8,35.6,7.2,34.7,16.8,42.3,7,30.6,4.7,16.8
"delhi",2005,12.7,36.3,11.6,35.9,6.8,34.3,18.7,42.7,6.7,30.1,4.3,17
"delhi",2006,12.7,35.4,11,35,6.4,34.8,19.7,41.6,6.3,29.9,4.7,16.5
"delhi",2007,12.1,36,10.7,35.6,6.1,35,18.9,42.6,6,30,5,16.7
"delhi",2008,11.5,33.3,10.3,32.7,5.4,32.3,18,40.8,5.2,28.2,4.4,17.1
"delhi",2009,13.1,36.3,11.7,35.9,7.6,36.5,20.3,42.8,7.5,31.2,5.2,16.5
"delhi",2010,11.5,37.5,10.4,36.8,7.7,34.8,17.1,44,7.4,30.9,3.7,16.6
"delhi",2011,10.5,34.8,9.4,33.9,5.7,33.6,16.2,41.5,5.5,28.6,4.3,16.2
"delhi",2012,10.7,37.4,9.6,36.6,5.8,35.2,17.1,42.8,5.7,32.2,3.8,16.1
"delhi",2013,11,36.1,9.5,35.2,4.9,33.9,15.4,42.7,4.7,30.3,3.9,16.1
"delhi",2014,11,36.6,9.6,36.3,6.3,35.1,16.5,42.6,6.1,30.4,4.9,16.7
"delhi",2015,11.6,35.7,10.5,35,6.9,33.9,16.8,42.6,6.7,29.7,4,16.2
"delhi",2016,12.2,35.6,11.4,34.8,8,34.2,18,42.2,7.8,29.9,4.2,17
"delhi",2017,12.4,35.5,11.5,34.8,7.2,34.5,18.6,42.5,6.9,29.4,4.2,16.7
"delhi",2018,11.7,35.8,10.2,34.8,5.9,34.4,19.1,42.1,5.8,30.9,3.6,16.7
"delhi",2019,11.2,36.4,10,35.5,6.4,34.7,15.4,43.3,6.2,30.8,4.6,16.3
"delhi",2020,11.2,35.2,10,34.4,6.6,34.6,16.7,40.9,6.4,30,5,17
"delhi",2021,11.4,35.4,10.1,34.7,6.1,33.6,17.5,41.5,6,30.8,3.9,17.3
"delhi",2022,11.6,36.9,10.4,36,7.4,35.9,15.3,43.8,7.2,31.2,3.4,17.9
"delhi",2023,10.4,34,9.2,33.5,6.6,33.6,16.4,40.9,6.4,29.5,4.3,16.2
"delhi",2024,9.9,37.9,8.7,37.1,6.3,34.2,15,44.7,6.2,31.6,3.9,16
"delhi",2025,12.3,35.1,11,34.2,8,32.6,17.1,41.9,7.9,29.7,3.6,17
