"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"goa",1990,22.7,28.5,22.1,28.5,17.7,28.8,24.6,33.1,17.4,27.3,0.8,14
"goa",1991,22.6,29.2,21.8,29.1,17.3,29.4,24.9,33.2,17.1,28,0.8,14
"goa",1992,22.4,28.7,21.1,28.7,16.9,29.1,24.9,32.6,16.7,27.6,0.8,14.3
"goa",1993,22.9,28.8,21.9,28.8,17.9,29.3,24.9,32.9,17.7,27.7,0.8,13.8
"goa",1994,22.7,28.6,21.7,28.6,17.4,29,24.9,32.7,17.2,27.7,0.8,13.7
"goa",1995,23,29.4,22.2,29.3,17.3,29.7,25.3,33.1,17.2,28.3,0.8,14.2
"goa",1996,23.1,28.6,22.2,28.5,17.8,29.1,25.3,33.3,17.6,27.4,0.8,14.4
"goa",1997,22.8,28.8,21.8,28.8,17.1,29.3,25.2,33.1,16.9,27.8,0.9,14.4
"goa",1998,22.9,30.1,21.9,30,17.5,30.2,25.6,33.8,17.1,28.9,0.8,14
"goa",1999,22.8,28.1,22,28.1,17.5,28.7,25.1,33.7,17.4,27.3,0.8,14.3
"goa",2000,23,28.3,21.8,28.3,17.5,28.9,25.1,33.2,17.1,27.4,0.8,14.7
"goa",2001,23.4,28.9,22.6,28.8,17.9,29.4,25.4,33,17.7,27.8,0.8,14.5
"goa",2002,23.1,29.3,22.3,29.3,17.9,29.8,25.4,33.4,17.6,28.1,0.9,14
"goa",2003,23.4,29.4,22.6,29.4,18,29.8,25.7,33.4,17.9,28.4,0.8,13.7
"goa",2004,23.1,28.7,22.4,28.7,17.7,29.2,25.4,33.5,17.5,27.7,0.9,14.3
"goa",2005,23.1,29.3,22.4,29.2,17.2,29.7,25.3,33.4,17,28.1,0.9,14.7
"goa",2006,23.5,28.6,22.7,28.5,18.1,29.3,25.5,33.3,17.9,27.5,0.9,14.6
"goa",2007,23.4,29.4,22.7,29.3,17.6,29.8,25.5,33.3,17.4,28.2,0.8,14.3
"goa",2008,22.8,28.9,22.3,28.9,17.5,29.6,25.2,33.3,17.2,27.9,0.9,14.6
"goa",2009,23.7,29.2,23.1,29.1,18.8,29.8,25.5,33.6,18.5,28.1,0.8,13.8
"goa",2010,23.2,29.8,22.6,29.8,18.3,30,25.5,33.7,18.1,28.8,0.8,13.5
"goa",2011,23.1,28.8,22.1,28.8,17,29.5,25.5,33.1,16.7,27.8,0.8,15.4
"goa",2012,22.9,28.5,22.3,28.3,17,29.2,25.5,33.2,16.7,27.4,0.8,14.9
"goa",2013,23.2,28.8,22.5,28.8,17.2,29.5,25.2,33.4,17,27.7,0.8,14.9
"goa",2014,23.2,29.2,22.4,29.2,18,29.5,25.4,33.6,17.7,28.2,0.8,13.7
"goa",2015,23.4,29.4,22.3,29.3,18.1,29.6,26.1,33.4,17.8,28.4,0.9,14
"goa",2016,23.4,29.4,22.5,29.2,17.7,29.8,25.5,34,17.5,28.3,0.8,14.7
"goa",2017,23.7,29.3,22.5,29.1,18.3,29.5,26.1,34.1,18,28.1,0.8,14.5
"goa",2018,23.4,29.4,22.5,29.3,18.1,29.6,25.4,34,17.9,28.3,0.8,14.1
"goa",2019,23.4,29.1,22.6,28.9,17.7,29.3,25.4,33.8,17.4,28.1,0.8,14.6
"goa",2020,23.6,29.7,22.8,29.6,18.8,29.8,25.7,34.2,18.5,28.7,0.8,13.7
"goa",2021,23.6,29.3,23,29.3,18.9,29.5,25.6,33.5,18.5,28.1,0.9,13.5
"goa",2022,23,29.5,22.4,29.4,17.5,29.6,25.2,33.7,17.3,28.5,0.8,14.2
"goa",2023,23.2,29.6,22.4,29.4,17.3,29.9,25.6,35.8,17.2,28.1,1,16.7
"goa",2024,23.1,29.9,22.4,29.8,17.8,30.1,25.2,34.9,17.6,28.5,0.9,15.1
"goa",2025,22.8,29.4,21.7,29.2,17.4,29.5,25.2,35.4,17.2,28,0.9,15.4
