"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"gujarat",1990,19,33.2,17.9,32.7,12.3,31.5,23.9,40.1,12,28.6,0.6,17
"gujarat",1991,16.8,34,15.9,33.6,10.4,32.1,22.8,41.3,10,28.8,0.6,16.9
"gujarat",1992,18.1,34,17,33.5,11.2,31.6,23.4,41.2,10.8,28.6,0.7,16.9
"gujarat",1993,19,33.7,17.9,33.2,12.3,32.3,24.4,41.2,12,28.7,0.6,17.1
"gujarat",1994,18,33.7,16.7,33.2,11.3,31.7,23.6,41.2,10.9,28.5,0.6,17
"gujarat",1995,18.1,34.6,17,34.3,11.7,32.8,23.2,41.9,11.2,28.9,0.7,16.7
"gujarat",1996,18.5,33.8,17.2,33.3,11.8,32.2,23.7,41.3,11.4,28.4,0.6,17.4
"gujarat",1997,17.6,32.7,16.5,32.1,11.1,31.5,23,39.3,10.7,28.5,0.7,16.4
"gujarat",1998,18.3,34.6,17,34.2,11.5,32.1,23.6,41.9,11.2,29.2,0.6,17.1
"gujarat",1999,18,32.8,16.5,32.3,11.7,31.9,23.7,40.4,11.4,28.2,0.6,17.3
"gujarat",2000,18.8,33.3,17.3,32.9,12,32.5,23.7,40.6,11.7,28.7,0.7,17.8
"gujarat",2001,18.6,33.1,17.3,32.6,11.8,32,24,40.2,11.5,28.3,0.7,17.4
"gujarat",2002,17.9,34,16.8,33.5,11.5,32.6,23.5,41.2,11.2,29,0.7,17.3
"gujarat",2003,18.6,33.8,17.5,33.3,12.3,32.3,24,40.9,12,28.7,0.7,16.8
"gujarat",2004,18.8,33.5,17.6,33.1,12.6,32,23.8,40.8,12.3,28.6,0.7,17.5
"gujarat",2005,17.3,33.4,16.2,33.1,10.8,31.8,23,40.4,10.6,28.7,0.7,17.3
"gujarat",2006,19,33.2,17.9,32.7,12.6,31.7,24,39.9,12.3,28.5,0.6,16.8
"gujarat",2007,18.6,33.7,17.5,33.3,12.6,32,24.1,40.6,12.3,28.9,0.7,16.5
"gujarat",2008,16.5,32.6,15.7,32.2,10.2,31.5,22.2,39.5,9.8,28.4,0.7,16.9
"gujarat",2009,19.9,33.7,18.8,33.2,13.8,32.3,24.6,40.9,13.6,28.7,0.7,16.6
"gujarat",2010,18.4,34.8,17.3,34.5,12.2,32.1,23.8,42,11.9,29.4,0.7,16.6
"gujarat",2011,18.1,33.5,17,33.1,11.7,32.2,23.6,40.2,11.4,28.9,0.6,16.6
"gujarat",2012,17.6,33.3,16.6,32.9,11.4,31.9,22.9,40.1,11.1,28.6,0.6,16.9
"gujarat",2013,17.5,33.7,16.3,33.3,11.3,31.6,23.3,40.3,11,28.7,0.7,16.3
"gujarat",2014,17.5,34.3,16.4,33.7,11.5,32.7,23,40.9,11.2,29.2,0.7,15.7
"gujarat",2015,18,34.6,16.8,33.7,12.1,32.8,23.6,41.5,11.8,29.5,0.7,16
"gujarat",2016,19.8,34.5,18.3,33.3,13.4,32.2,24.5,41.1,13.1,29.6,0.6,16.7
"gujarat",2017,18.7,34.5,17.7,33.7,12.7,32.5,23.7,41.4,12.4,29.5,0.7,16.5
"gujarat",2018,18.6,34.8,17.5,33.9,12,33.1,24,41.8,11.8,29.6,0.6,16.6
"gujarat",2019,17.4,34.6,16.4,33.8,11.4,31.9,23.1,41.6,11,29.6,0.7,16
"gujarat",2020,17.1,34.6,16.1,33.8,11.4,32.4,22.6,41.1,11,29.7,0.7,15.9
"gujarat",2021,17.6,33.7,16.5,32.9,11.7,32.2,23.4,40.2,11.3,29.2,0.7,16.8
"gujarat",2022,17.5,34.4,16.4,33.6,11.6,32.2,22.7,41.6,11.2,29.3,0.7,16.4
"gujarat",2023,18,33.5,17,32.7,12.2,32.1,23.3,39.8,11.9,29.1,0.7,16.5
"gujarat",2024,18.2,34.7,17.1,34,12.2,32.5,24,40.9,11.9,30,0.7,15.7
"gujarat",2025,19.1,33.9,17.7,33,12.6,31.9,24.2,40.9,12.4,29.3,0.7,17.2
