"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"haryana",1990,11.3,36,9.8,35.6,5.7,34.4,17,42.3,5.4,30.2,4.6,17.8
"haryana",1991,10.4,35.8,9.3,35.5,4.5,35.5,16.8,41.9,4.3,30.7,5.5,17.4
"haryana",1992,11.5,35.9,10.3,35.5,5.9,34.2,17.6,42.6,5.6,30,4.5,17
"haryana",1993,11,36.7,9.7,36.4,5.4,35.7,17.4,43.7,5.1,30.1,4.7,17.7
"haryana",1994,11.8,36.8,10.3,36.4,6.3,34.5,17.6,43.8,5.9,29.7,4.4,17.4
"haryana",1995,11.5,37.6,10.3,37.3,6.1,36.2,16.3,44.6,5.7,31.5,4.3,17.5
"haryana",1996,11.7,34.7,9.9,34.2,5.1,34.1,18.3,41.7,4.9,28.5,4.3,19
"haryana",1997,10,34.5,9,34.1,5,33.4,15.2,41,4.8,29.2,4.8,16.9
"haryana",1998,10.7,37.2,9.4,36.8,5.3,35.2,17.4,44.5,5,30.5,4.6,17.7
"haryana",1999,11,35.8,10,35.5,6.2,36,15.8,42.7,6,30.5,5.1,18.6
"haryana",2000,11.2,36.4,9.9,36.2,5.8,35.9,17,42.6,5.5,31,5,18.5
"haryana",2001,10.3,35.4,9.1,35,5.4,34.6,16.5,42.3,5.1,29.2,5.2,17.8
"haryana",2002,11.6,37,10.2,36.6,5.8,37,18,43.9,5.6,31.6,5.9,17.8
"haryana",2003,9.1,36.7,8,36.3,4.8,35.3,15.1,43.4,4.5,30.2,4.5,17.5
"haryana",2004,11.2,36.5,10.3,36.1,6.5,35.4,16.4,42.7,6.3,30.7,5.1,17.5
"haryana",2005,11.4,36.3,10.3,36,5.5,35.1,16.9,42.7,5.3,30.1,4.7,17.5
"haryana",2006,11.6,36.2,10.3,35.8,5.8,34.7,17.9,42.8,5.5,30.1,4.9,17
"haryana",2007,11.1,36.6,9.8,36.4,5,35.1,17.7,43.1,4.8,30.3,5.5,17.3
"haryana",2008,10.3,34.3,9.4,33.9,4.4,33.4,16.6,41.1,4.1,28.8,4.7,17.8
"haryana",2009,12.3,36.5,11.2,36.1,6.6,35.5,19.1,43.2,6.4,30.5,5.5,16.9
"haryana",2010,10.5,37.2,9.5,36.8,6.3,35.3,15.9,43.9,6.1,30.7,4.1,17.3
"haryana",2011,9.4,35.4,8.5,34.9,4.6,33.5,15,42,4.3,29.6,4.5,16.8
"haryana",2012,10.2,37.1,9.1,36.5,5,35,16,42.9,4.8,31.5,4.5,16.8
"haryana",2013,9.4,36.6,8.2,36.1,4.6,34,14.7,43.3,4.3,30.4,4.2,17
"haryana",2014,9.9,37,8.8,36.5,5.2,34.9,15.6,43.2,5,30.9,5,17.1
"haryana",2015,11,35.7,9.9,35.1,6.3,34.2,15.9,42.7,6.1,29.5,4.4,16.7
"haryana",2016,11.6,36.3,10.8,35.7,7.2,34.9,16.9,43,6.9,30.8,4.7,17.5
"haryana",2017,11.6,36.3,10.7,35.8,6.4,35,17.5,43.4,6,30.1,4.6,17.4
"haryana",2018,11.4,36.5,10,35.9,5.3,35,18.5,43.2,5.1,30.9,4.2,17.4
"haryana",2019,9.5,36.8,8.6,36.1,5.5,34.6,14.2,43.8,5.2,30.9,4.6,16.8
"haryana",2020,10.1,36.2,9.2,35.6,5.5,34.6,15.5,42.6,5.2,30.6,5,17.3
"haryana",2021,10.9,35.7,9.7,35.3,5.8,34.3,16.4,41.6,5.5,30.7,4.1,17.5
"haryana",2022,10.7,37.2,9.9,36.4,6.7,35.1,14.5,44,6.5,31.1,3.9,18.3
"haryana",2023,10.2,34.5,9.4,34.1,5.7,33.8,15.8,40.9,5.3,29.6,4.6,17.2
"haryana",2024,9.3,38.1,8.4,37.4,5.5,35,13.5,44.8,5.3,31.8,4.3,16.9
"haryana",2025,11.9,35.9,10.8,35.2,7.4,33.9,16.9,42.6,7.2,29.9,3.8,17.7
