"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"himachalpradesh",1990,-22.1,31.4,-21.7,30.9,-28.9,27.9,-16.7,37.9,-29.8,26.3,3.9,18.7
"himachalpradesh",1991,-23.8,31.5,-23.4,31.1,-30,28,-18.7,37.5,-31.2,26.4,4.7,18
"himachalpradesh",1992,-23,30.8,-23.1,30.7,-30.8,27.4,-16.8,37.4,-31.7,26,3.8,18.9
"himachalpradesh",1993,-24.2,32.1,-24,31.7,-32.6,28.3,-17.7,38.6,-33.3,26.6,4.3,19.8
"himachalpradesh",1994,-22.8,31.4,-22.5,31.1,-29.4,27.9,-17.5,38.2,-30.5,26.4,3.8,18.5
"himachalpradesh",1995,-24.7,32.4,-24.5,32.3,-32.2,28.4,-19.4,39.2,-32.9,26.4,4.1,19.7
"himachalpradesh",1996,-23,30.5,-23.1,30.1,-30.6,27.4,-16.9,36.7,-31.1,25.8,4,19.1
"himachalpradesh",1997,-24.9,30.1,-25,29.7,-32.1,27.4,-19.2,36.1,-32.7,25.8,4.2,18.9
"himachalpradesh",1998,-23.3,31.5,-23.9,31.1,-31,28.2,-16.5,38.3,-31.5,26.5,4,18.9
"himachalpradesh",1999,-21.1,31.6,-21.4,30.9,-28,28,-15.6,38.6,-28.9,26.2,4.4,19.4
"himachalpradesh",2000,-23.8,31.5,-23.7,31,-31.9,28.2,-17.7,38.4,-32.5,26.5,4.5,19.3
"himachalpradesh",2001,-23.6,30.7,-23.3,30.3,-32.8,28,-16.7,36.4,-33.4,26.3,4.8,20.2
"himachalpradesh",2002,-23.1,32.5,-23,32.1,-30.5,28.8,-16.9,38.9,-31.2,26.7,4.5,19
"himachalpradesh",2003,-23.5,31.5,-23.3,31.2,-31.5,28.4,-16.8,38.3,-32.2,26.3,4.6,18.9
"himachalpradesh",2004,-22.1,31.5,-21.9,31.2,-30.8,28,-16.2,37.9,-31.5,26.1,4.6,20.4
"himachalpradesh",2005,-21.9,31.3,-21.9,31,-28.3,27.7,-16.8,37.9,-29.2,26.3,4.2,18.2
"himachalpradesh",2006,-23,32,-22.7,31.6,-29.9,28.2,-17.3,37.9,-30.7,26.7,3.9,17.9
"himachalpradesh",2007,-22.6,31.8,-22.6,31.4,-30,28.3,-16.4,38.4,-30.7,26.8,4.7,18.6
"himachalpradesh",2008,-23.5,30.5,-23.5,30.1,-29.8,27.2,-18.3,36.2,-30.6,25.9,3.9,19
"himachalpradesh",2009,-23.8,32.1,-23.5,31.8,-30.8,28.1,-18,39.1,-31.7,26.2,4.7,18.7
"himachalpradesh",2010,-23.4,32.2,-23.4,31.8,-32.4,28.2,-16.5,39.3,-33,26.5,3.8,20.9
"himachalpradesh",2011,-23,31,-23,30.7,-29.9,27.8,-17.2,36.5,-30.6,26.4,4,18.1
"himachalpradesh",2012,-24,32.5,-23.9,32.3,-30.7,28.3,-18.4,39.2,-31.6,26.7,4.1,18.5
"himachalpradesh",2013,-24.3,31.5,-24.2,31.2,-31.8,28.4,-18.1,37.5,-32.6,26.8,3.9,19.5
"himachalpradesh",2014,-23.4,31.9,-23.1,31.6,-31.4,28.3,-17.7,38.2,-32.2,26.9,4.4,18.8
"himachalpradesh",2015,-23.6,30.9,-23.5,30.4,-30.7,27.9,-17.7,37.3,-31.4,26.5,4,18.3
"himachalpradesh",2016,-21.7,32,-21.8,31.5,-29.8,28.8,-15,38.3,-30.5,27.2,4.4,19.3
"himachalpradesh",2017,-22.1,31.7,-21.8,31.2,-29.4,28.4,-16.4,38.1,-30.2,27.2,3.7,18.4
"himachalpradesh",2018,-22.9,31.8,-22.9,31.2,-31.6,28.6,-16,38.3,-32,27.2,3.8,19.5
"himachalpradesh",2019,-23.9,31.7,-23.8,31.2,-30.1,28.1,-18.9,38.3,-30.9,26.9,3.9,18.2
"himachalpradesh",2020,-24.8,31.1,-24.7,30.6,-30.6,28.3,-19.4,36.5,-31.5,27.1,4.1,18.1
"himachalpradesh",2021,-23.9,31.1,-24.4,30.4,-32.1,28.5,-17,36.9,-32.5,26.9,3.9,19.5
"himachalpradesh",2022,-22.7,32.4,-22.7,31.8,-30.7,28.3,-16.4,39.3,-31.3,27.3,3.7,19.5
"himachalpradesh",2023,-21.9,30.4,-21.7,29.8,-29.7,27.5,-15.9,35.4,-30.3,26.5,4,19.8
"himachalpradesh",2024,-21.7,32.3,-21.9,31.9,-30.2,28.3,-14.9,38.2,-30.8,27.3,4.4,19.8
"himachalpradesh",2025,-22.1,30.6,-22,30,-31.7,27.7,-15.5,36.1,-32.3,26.7,3.3,21.3
