"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"jharkhand",1990,14.8,32.6,13.7,32,9,30,22.1,39.9,8.8,27.5,3.1,16.2
"jharkhand",1991,14,33.4,13.3,33,8.4,31.2,20,40.4,8,28,3.3,16
"jharkhand",1992,14.3,33.6,13.3,33.3,8.3,31.6,21.5,40.6,8.1,27.8,3.8,16.5
"jharkhand",1993,14.8,33,13.8,32.6,8.7,30.9,22,40,8.4,27.7,3.4,16.5
"jharkhand",1994,15.3,33.9,14.3,33.5,9.5,31.3,21.8,40.5,9.2,28.1,3.1,16.3
"jharkhand",1995,14.9,34.8,14.4,34.7,8.9,33.4,20.6,42,8.4,28.7,3.4,16.8
"jharkhand",1996,15,34.1,13.8,33.9,8.9,31.9,21.8,40.9,8.7,27.8,3.4,16.8
"jharkhand",1997,14.2,33.6,13.3,33.3,8.6,31.2,19.7,40.2,8.3,27.7,3.3,16.4
"jharkhand",1998,13.9,35.2,12.9,34.8,8.8,32,20,41.6,8.4,29.3,3.4,15.5
"jharkhand",1999,14.5,33.7,13.5,33.1,8.7,31.4,21.7,41.2,8.4,27.6,3.2,17.4
"jharkhand",2000,14.8,32.4,13.6,32,8.7,31.4,21.9,39.2,8.4,27.5,3.6,17
"jharkhand",2001,14.2,32.4,13,32,7.7,31,21.5,39.3,7.4,27.2,3.2,17.6
"jharkhand",2002,15.3,33.6,14.3,33.1,9.3,32,22,40.7,9,28.2,3.2,16.6
"jharkhand",2003,12.3,34.1,11.4,33.8,7.3,32,19.3,41.2,6.9,28,3.1,16.3
"jharkhand",2004,13.8,34,12.8,33.5,8.3,31.8,20.7,41.1,8,28.2,3.5,17.1
"jharkhand",2005,15.2,35.3,14,35,9.3,32.3,21.5,42.2,9.1,29.1,3.2,16.4
"jharkhand",2006,15.6,32.4,14.4,32,9.5,31.5,23.2,39.3,9.2,27.6,3.1,17
"jharkhand",2007,15,33.4,13.8,32.8,9,31.5,22.5,40.1,8.8,28.1,3.2,16.3
"jharkhand",2008,14.9,32.9,13.9,32.4,9.2,31.2,21,40.3,8.9,27.2,3.4,17
"jharkhand",2009,15.8,34.4,14.6,34,10,32.7,23.1,41.7,9.8,28.2,3.6,17.5
"jharkhand",2010,14,35.2,12.8,34.8,8.4,33.2,20.9,42.5,8.1,28.9,4.1,17.5
"jharkhand",2011,13.2,32.6,12,32.2,7.3,31.5,21,39.1,7,27.6,2.9,17.1
"jharkhand",2012,13.7,35.4,12.8,35,8.4,33.2,20.1,42.4,8.1,29.3,3.3,17.2
"jharkhand",2013,14.2,33.4,13.1,32.8,8.3,32,21.3,40.5,8,27.8,3,16.9
"jharkhand",2014,13.9,34.1,12.8,33.5,8.8,32.5,20,41,8.5,28.4,3.4,16.5
"jharkhand",2015,14.5,34.1,13.3,33.4,9.1,31.7,20.7,40.7,8.9,28.9,3.5,15.4
"jharkhand",2016,15.3,34.4,14.1,33.6,9.7,32.1,22.2,41.7,9.4,28.5,3.3,16.3
"jharkhand",2017,15.6,33.8,14.3,33.1,10,31.7,22.4,41.1,9.7,28.5,3.2,16.5
"jharkhand",2018,13.3,33.4,12.1,32.8,7.7,31.8,20.6,40.1,7.5,28.7,3.2,16.8
"jharkhand",2019,14.2,34.8,13,34.2,8.6,32,20.4,42,8.3,29,3.1,16.3
"jharkhand",2020,14.4,31.6,13.3,31.1,9,30.8,20.4,38.1,8.7,28.1,3.5,15.5
"jharkhand",2021,14.3,31.8,13.3,31.3,9.2,31.1,20.8,39,8.8,27.8,2.9,16.9
"jharkhand",2022,14.7,33.8,13.5,33,9.5,32,20,41.1,9.2,28.8,3.7,16.4
"jharkhand",2023,14.8,34.7,13.7,34,9.8,32.5,21.1,41.3,9.5,29.2,3,16.5
"jharkhand",2024,14.3,35,13.4,34.4,9.1,32.8,20.2,41.7,8.8,29.8,3,15.8
"jharkhand",2025,13.9,32.8,13,32.2,9.1,31.1,19.9,39.4,8.8,28.2,2.6,16.9
