"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"karnataka",1990,21,31.9,20.2,31.4,14.8,30.5,24.1,38.1,14.6,27.2,1,16
"karnataka",1991,20.4,33,19.6,32.6,14.7,31,24.2,39.2,14.4,27.8,1,15.4
"karnataka",1992,19.9,32.8,18.9,32.5,13.6,31.2,24.2,39,13.3,27.5,1,15.9
"karnataka",1993,20.1,33.2,19.2,32.8,14.3,30.8,24.2,39.6,14,27.8,1,15.5
"karnataka",1994,20.3,33,19.4,32.6,14.3,30.8,24.1,39.4,14,27.7,1,15.3
"karnataka",1995,20.6,32.8,19.9,33,14.6,31.8,24.7,38.8,14.3,27.5,1,15.2
"karnataka",1996,20.6,33.4,19.7,32.9,14.8,31.2,24.3,40,14.5,27.8,1,15.6
"karnataka",1997,21,32.3,20.2,31.8,15.2,31.1,24.8,38.6,14.9,27.6,1.1,15.7
"karnataka",1998,20.8,33.7,19.8,33.3,14.7,31.5,24.9,39.9,14.4,28.4,1,15
"karnataka",1999,20.4,32.2,19.4,31.7,14.4,30.7,24.5,38.9,14.1,27.2,1,15.4
"karnataka",2000,20.5,32.3,19.5,31.9,14.1,31,24.4,38.7,13.8,27.3,1.1,16
"karnataka",2001,21.1,32.9,20.3,32.6,15.3,31.5,24.7,38.9,15,27.8,1,15.9
"karnataka",2002,21.1,33.2,20.1,32.9,14.9,31.8,24.9,39.3,14.6,27.8,1.1,15.8
"karnataka",2003,21.2,34.2,20.4,33.8,15.3,32.4,25.2,40.5,15,28.6,1,15.3
"karnataka",2004,21.1,32.4,20.2,32.1,14.7,30.9,24.8,39.2,14.5,27.4,1,16.1
"karnataka",2005,20.6,33.1,19.7,32.7,14.2,31,24.4,39.5,14,27.9,1.1,16.3
"karnataka",2006,20.9,33.1,19.9,32.8,14.7,31.1,25,39.5,14.5,27.8,1.1,16
"karnataka",2007,21,33,20.2,32.6,14.8,31,24.7,39.3,14.6,27.8,1,15.6
"karnataka",2008,21,32.6,20,31.9,14.8,30.8,24.8,39.2,14.5,27.4,1.1,15.8
"karnataka",2009,21.4,33.2,20.6,32.7,15.8,31.4,24.9,39.7,15.6,27.8,1.1,15.8
"karnataka",2010,20.8,34.2,19.8,33.5,15.2,31.1,24.6,40.7,14.9,28.9,1,15.2
"karnataka",2011,20.8,32.2,19.6,31.5,14.1,30.5,25,38.9,13.9,27.6,1.1,16.5
"karnataka",2012,21,33.1,20,32.4,14.8,31.3,25.2,39.7,14.4,27.9,1,16.6
"karnataka",2013,21,33.6,20,32.9,14.9,30.9,24.6,40.1,14.7,28.4,1,15.8
"karnataka",2014,21.3,32.9,20.3,32.1,15.8,30.9,25.1,39.5,15.5,28,1,14.8
"karnataka",2015,21.4,32.8,20.3,31.8,16.2,31.2,25.6,39.5,15.8,28,1.2,15.1
"karnataka",2016,21.6,34.4,20.3,33.4,15.4,31.8,25.1,40.9,15.2,29,1,15.8
"karnataka",2017,21.4,34,20.2,33.1,15.7,31.5,25.6,40.7,15.4,28.5,1,15.6
"karnataka",2018,21.3,33.3,20.2,32.3,15.6,31.2,25,39.7,15.4,28.2,1.1,15.4
"karnataka",2019,21.4,34.4,20.4,33.3,15.8,31.7,25,40.7,15.5,28.9,1,15.2
"karnataka",2020,21.6,33.3,20.6,32.6,16.4,31,25,39.5,16.2,28.4,1.1,14.3
"karnataka",2021,21.4,31.6,20.4,30.9,16.3,30.4,24.8,38,16.1,27.4,1.2,14.6
"karnataka",2022,21.2,32.7,20.3,31.8,15.7,30.4,24.5,39.2,15.5,27.8,1.1,14.9
"karnataka",2023,21.6,32.9,20.5,32,15.6,31.7,25.5,39.2,15.4,28.1,1.3,15.8
"karnataka",2024,21.9,34.1,21,33.4,17,31.9,25.1,40.4,16.8,28.8,1.2,14.5
"karnataka",2025,20.7,32.2,19.6,31.3,15,30.5,24.7,38.6,14.8,27.6,1.3,15.2
