"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"kerala",1990,20.8,28.9,20.2,28.8,15.9,28.9,24.1,34.6,15.6,27.9,0.7,14.6
"kerala",1991,20.8,29.1,20.2,29.1,16.4,29.3,24.3,35.1,16,27.7,0.7,14.2
"kerala",1992,20.2,28.9,19.6,28.8,15.4,28.9,23.9,34.9,15.1,27.8,0.7,14.8
"kerala",1993,20.5,29,19.9,28.9,15.7,29,24,34.6,15.4,27.6,0.7,13.8
"kerala",1994,20.8,29.1,20.2,29,16.2,29.2,24.1,34.3,16,27.9,0.7,13.9
"kerala",1995,21,28.9,20.4,28.9,16.3,29.1,24.6,34.5,15.9,27.5,0.7,13.8
"kerala",1996,20.6,28.9,20,28.9,15.8,29.1,24.1,34.6,15.5,28,0.7,14.3
"kerala",1997,21.1,29,20.4,29,16.9,29.3,24.6,34.5,16.6,27.9,0.8,13.7
"kerala",1998,21.2,30,20.5,29.9,17.2,30.1,24.4,35.7,16.9,28.3,0.7,13.3
"kerala",1999,20.6,28.6,19.9,28.5,16.1,28.7,24.2,34.3,15.7,27.7,0.7,13.7
"kerala",2000,20.5,28.8,19.8,28.7,16.1,29,24.3,34.1,15.7,27.6,0.7,13.5
"kerala",2001,20.9,28.9,20.3,28.7,16.9,29,24.4,34.3,16.5,27.7,0.7,13.3
"kerala",2002,21.1,28.9,20.4,28.7,16.5,29,24.8,34.9,16.2,27.4,0.8,14
"kerala",2003,21,29.3,20.4,29.3,16.6,29.6,24.8,34.7,16.3,28,0.7,13.2
"kerala",2004,21.2,29.1,20.5,28.8,16.3,29.1,24.6,35,16,27.6,0.8,14.5
"kerala",2005,21.2,29.4,20.5,29.3,16.8,29.4,24.6,35.1,16.4,28,0.7,13.9
"kerala",2006,21.1,29,20.4,28.8,16.2,29,24.8,34.3,15.9,27.8,0.7,13.9
"kerala",2007,21.1,29.3,20.4,29.2,16.4,29.4,24.5,35.1,16.1,27.6,0.8,13.9
"kerala",2008,21.1,28.6,20.4,28.5,16.1,28.8,24.7,34,15.9,27.3,0.7,13.9
"kerala",2009,21.4,29.3,20.8,29.2,17,29.4,24.9,35.1,16.7,27.8,0.8,14
"kerala",2010,21.2,29.7,20.6,29.5,17.8,29.6,24.4,35.5,17.4,28.2,0.8,12.8
"kerala",2011,21,28.7,20.2,28.6,16.1,28.9,24.8,34.4,15.8,27.6,0.7,14
"kerala",2012,21.4,28.9,20.7,28.7,16.9,28.8,25.1,35.2,16.6,27.7,0.7,13.8
"kerala",2013,21.4,29.4,20.7,29.2,17.4,29.2,24.6,35.2,17,28.2,0.7,13.2
"kerala",2014,21.8,29.5,21.1,29.2,17.9,29.3,25.1,35.7,17.6,27.9,0.8,13
"kerala",2015,21.9,29.1,21.1,28.9,18.3,29.2,25.4,34.5,18,27.7,0.8,12.2
"kerala",2016,21.7,30.3,21,29.9,17.8,30,25.1,36.1,17.5,28.7,0.7,12.6
"kerala",2017,21.7,29.3,20.9,29.1,17.7,29.4,25.1,34.7,17.4,27.9,0.7,12.6
"kerala",2018,21.5,29.2,20.8,28.9,17.4,29.2,24.7,34.4,17.2,27.7,0.7,12.6
"kerala",2019,21.6,29.8,20.9,29.6,17.8,29.7,25.1,35.6,17.6,28.5,0.7,12.8
"kerala",2020,21.7,29.8,21.1,29.6,18,29.8,25.1,35.3,17.8,28.1,0.8,12.3
"kerala",2021,21.4,29,20.8,28.8,18.1,29,24.7,34.4,17.8,27.5,0.8,12.2
"kerala",2022,21.3,29.1,20.6,29,17.5,29.2,24.5,34.1,17.3,27.6,0.7,12.5
"kerala",2023,21,29.5,20.4,29.3,16.3,29.6,25,34.8,16,28.2,0.8,13.9
"kerala",2024,21.4,30.4,20.9,30.1,18.1,30.2,24.7,35.9,17.8,28.5,0.8,12.8
"kerala",2025,20.5,29.3,19.9,29.2,16.4,29.5,24.1,34.6,16.1,27.8,0.8,13.3
