"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"madhyapradesh",1990,15.7,34.8,14.4,34.3,9.2,32.3,22.6,41.3,8.9,29.4,3.1,17.3
"madhyapradesh",1991,13.4,35.9,12.5,35.5,7.5,33.8,20.2,42.5,7.1,30,2.9,17.1
"madhyapradesh",1992,14.7,35.7,13.2,35.2,8.1,34.3,22.1,42.4,7.8,29.9,3.5,17.5
"madhyapradesh",1993,15,36.3,13.7,35.6,8.4,33.8,22.3,43.1,8.1,29.8,3.6,17.3
"madhyapradesh",1994,14.7,36.6,13.6,36.1,8.4,33.9,21.5,43.1,8.1,30,2.8,17
"madhyapradesh",1995,14.5,36.9,13.5,36.5,8.4,35.8,19.9,43.5,7.9,30.5,3.5,17
"madhyapradesh",1996,14.7,35.8,13.2,35.4,7.9,34.6,21.5,42.3,7.7,29.5,3.1,17.8
"madhyapradesh",1997,13.7,34.2,12.6,33.9,8,32.8,19,40.7,7.7,28.2,3.2,17
"madhyapradesh",1998,14.3,36.8,13.2,36.2,8.5,34.3,20.8,43.3,8.1,30.7,3.3,17.1
"madhyapradesh",1999,14.1,35.4,12.8,34.8,8.2,34,20.8,42.5,8,29.4,3.2,18.3
"madhyapradesh",2000,14.8,35,13.4,34.4,8.3,33.8,22,41.7,8.1,29.3,3.5,18.2
"madhyapradesh",2001,14.1,35.3,12.8,34.8,8,33.4,21.5,42.2,7.6,28.8,3.2,17.8
"madhyapradesh",2002,14.6,36.4,13.5,35.8,8.6,35.3,21.5,43,8.3,30.7,3.6,17.5
"madhyapradesh",2003,12.9,36.5,12.1,36,7.8,35.2,19.1,42.8,7.4,30.3,3.1,17.3
"madhyapradesh",2004,14.2,35.7,13.1,35.1,8.7,34.3,20.4,41.9,8.4,29.9,3.3,17.7
"madhyapradesh",2005,14.4,36.6,13.2,36,8.2,34.5,20.9,42.9,8,30.3,3.2,17.6
"madhyapradesh",2006,15.5,35.3,14.2,34.6,9.1,33.5,22.7,41.7,8.8,29.4,3,17.5
"madhyapradesh",2007,14.8,35.4,13.7,34.9,8.6,33.9,22,41.9,8.3,29.5,3.7,17.3
"madhyapradesh",2008,14,34.4,13,33.8,7.9,32.9,20.8,41.4,7.6,28.1,3.4,17.9
"madhyapradesh",2009,16.3,36.1,15.1,35.5,10.4,34.6,22.4,42.7,10.2,30,3.7,17.6
"madhyapradesh",2010,14.1,37.2,13,36.6,8.3,35.8,20.6,43.6,8.1,31,3.9,17.4
"madhyapradesh",2011,13.4,35.5,12.1,34.9,7,33.5,21,41.8,6.7,29.3,2.9,17.6
"madhyapradesh",2012,13.5,36.6,12.4,36,7.5,34.7,19.8,42.9,7.2,30.8,2.8,17.8
"madhyapradesh",2013,13.7,35.9,12.6,35.2,7.6,33,20.3,42.7,7.3,29.4,2.6,17.5
"madhyapradesh",2014,13.4,35.9,12.4,35.3,8.3,34.1,18.7,42.6,8,29.9,3.5,17
"madhyapradesh",2015,13.6,36.3,12.2,35.2,8.3,34.2,19.2,43,8,30.4,3.7,16.4
"madhyapradesh",2016,15.6,36.5,14,35.4,9.8,35,22.9,43,9.5,30.9,3,17.2
"madhyapradesh",2017,15.3,36.1,13.9,35,9.7,34.5,21.4,42.8,9.4,30.2,3.6,17.4
"madhyapradesh",2018,14.3,36.6,12.7,35.5,7.9,34.6,21.9,43,7.7,30.9,2.6,17.2
"madhyapradesh",2019,13.5,37,12.2,35.9,7.8,34.8,19.5,43.6,7.5,30.9,2.8,16.5
"madhyapradesh",2020,13.9,34.9,12.6,33.8,8.4,33.1,19.7,41.5,8.1,29.3,3.6,16.7
"madhyapradesh",2021,14,33.6,12.8,32.7,8.3,33.1,20.5,40.4,7.9,28.7,3,17.7
"madhyapradesh",2022,13.6,36.3,12.4,35.2,8.5,34.9,19.2,43.1,8.2,30.5,3.3,17.6
"madhyapradesh",2023,14.1,34.6,12.8,33.7,8.9,33,20.3,41.3,8.4,29.1,3.4,17.1
"madhyapradesh",2024,14,36.8,12.6,35.9,8.4,34.4,19.5,43,8.1,31.3,2.9,16.3
"madhyapradesh",2025,14.2,34.7,13,33.8,9,32.9,20.7,41.7,8.8,29.3,2.7,17.6
