"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"maharashtra",1990,20.4,32.9,19.3,32.4,13.7,31.2,25,39.6,13.5,27.4,1.3,16.7
"maharashtra",1991,19,34.8,18,34.4,12.5,32.6,24.6,41.3,12.1,28.9,1.3,16.2
"maharashtra",1992,19.4,34.7,18.1,34.3,12,33.1,25.2,41,11.7,28.7,1.3,17.1
"maharashtra",1993,19.1,35.2,17.7,34.6,12.3,32.4,25.3,41.7,12,29.1,1.4,16.6
"maharashtra",1994,19.2,34.9,17.9,34.4,12.6,32.6,24.8,41.3,12.3,28.9,1.2,16.3
"maharashtra",1995,19.3,34.5,18.3,34.5,12.9,33.4,24.5,40.7,12.4,28.7,1.3,15.9
"maharashtra",1996,19.6,35.1,18.2,34.5,13.1,33.3,25.6,41.7,12.7,29,1.3,16.4
"maharashtra",1997,19,34.1,18,33.5,12.8,32.4,24.4,40.5,12.4,28.4,1.4,16.6
"maharashtra",1998,19.1,35.4,17.7,34.8,12.6,33.1,25.4,41.7,12.2,29.6,1.4,16.1
"maharashtra",1999,18.9,34,17.4,33.3,12.1,32.4,25.2,41.1,11.8,28.1,1.4,16.7
"maharashtra",2000,19.8,33.9,18.4,33.2,12.4,32.3,25.5,40.8,12.2,28.1,1.4,17.4
"maharashtra",2001,20,34.6,18.7,34,13.1,32.8,25.6,40.9,12.7,29,1.4,17.4
"maharashtra",2002,19.9,34.7,18.7,34.2,13,33.4,25.1,41.1,12.7,29,1.4,17
"maharashtra",2003,20.2,35.6,18.9,35.1,13.6,33.6,25.8,42.1,13.2,29.6,1.4,16.7
"maharashtra",2004,19.9,34.1,18.5,33.5,13,32.4,25.4,40.7,12.7,28.4,1.4,17.4
"maharashtra",2005,18.8,35.2,17.3,34.7,11.8,32.7,25,41.7,11.5,29.5,1.3,17.4
"maharashtra",2006,20,34.1,18.6,33.5,13,32.2,25.5,40.7,12.7,28.5,1.3,17.5
"maharashtra",2007,20.2,34.5,18.9,34,13.4,32,26.1,41,13.2,28.8,1.3,16.9
"maharashtra",2008,19.8,34.3,18.7,33.7,12.9,32.1,25.1,41.1,12.5,28.5,1.3,17
"maharashtra",2009,20.9,34.8,19.7,34.1,14.7,33,26.1,41.7,14.4,29,1.3,17
"maharashtra",2010,19.4,35.9,18,35.2,12.7,32.9,25.4,42.6,12.4,30.1,1.4,16.7
"maharashtra",2011,19.6,34,18.2,33.3,12.2,32,25.8,40.6,11.9,28.7,1.6,17.7
"maharashtra",2012,19.2,35.2,17.9,34.5,12.2,33.2,25.3,41.7,11.8,29.7,1.5,18
"maharashtra",2013,19.3,35.4,17.9,34.7,12.6,32.2,25,41.9,12.2,29.6,1.5,17.2
"maharashtra",2014,19.3,34.5,17.9,33.7,13.1,32.3,25,41.2,12.7,29,1.6,16.2
"maharashtra",2015,19.3,34.8,17.8,33.6,13.2,32.8,25.6,41.7,12.8,29.3,1.6,16.3
"maharashtra",2016,20.1,35.8,18.3,34.6,13.2,33.5,25.8,42.2,12.9,30.3,1.5,17.1
"maharashtra",2017,20.1,35.4,18.3,34.3,13.4,33.1,26.3,42.1,13.1,29.7,1.6,17
"maharashtra",2018,19.6,35.3,18.1,34.2,13.2,33.1,25.3,41.9,12.9,29.6,1.5,16.6
"maharashtra",2019,19.3,36.6,17.9,35.5,13,34,24.8,42.9,12.6,30.8,1.4,16.4
"maharashtra",2020,19.6,34.6,18.2,33.7,13.7,32.1,25,41.1,13.3,29,1.5,15.7
"maharashtra",2021,20.4,33,19,32.1,14.4,31.6,25.6,39.7,14.1,28.2,1.7,16.5
"maharashtra",2022,19.5,35,18.1,34,13.4,32.2,24.8,41.7,13.1,29.4,1.5,16.4
"maharashtra",2023,20.2,34.3,18.8,33.2,14.1,32.5,25.4,40.7,13.8,29,1.5,16.9
"maharashtra",2024,20.3,34.6,18.7,33.8,14.3,32.4,25.9,41.1,13.9,29.4,1.5,15.7
"maharashtra",2025,19.3,33.5,17.4,32.5,12.6,31.8,25.6,40.3,12.3,28.3,1.6,16.6
