"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"manipur",1990,11.9,27.7,11.4,27.6,6.7,26.3,17.3,32.2,6.5,24.7,3.2,14.2
"manipur",1991,10.7,27.9,10.3,27.9,5.7,26.7,16.2,32.9,5.4,24.9,2.9,15.7
"manipur",1992,10.3,28.3,9.8,28.2,5.5,26.7,15.7,33.9,5.2,24.6,3.3,14.4
"manipur",1993,10.9,27.7,10.5,27.7,5.9,26.4,16.3,32.2,5.5,24.7,3.2,15.1
"manipur",1994,11.6,28.3,11.2,28.3,6,27.1,17.3,33.4,5.7,24.9,3.7,15.6
"manipur",1995,11.2,28.5,11.1,28.4,5.6,27.5,17,34.1,5.2,25,2.9,16
"manipur",1996,11.8,27.9,11.7,27.9,6.3,27.1,17.9,33,5.9,24.7,3.3,15.8
"manipur",1997,10.6,27.8,10.3,27.7,5.1,26.4,16.2,33.1,4.7,24.6,3.2,15.5
"manipur",1998,11.7,28.2,11.2,28.2,6.7,27.2,17.3,32.7,6.4,25,3.1,15
"manipur",1999,12.1,28.3,11.5,28.2,6.7,27.2,18.5,34,6.2,24.7,3.2,17.2
"manipur",2000,11.3,27.9,11,27.6,6,26.8,17,32.5,5.7,24.7,2.9,15.3
"manipur",2001,11.5,28,11.2,27.8,5.9,27,17.8,33,5.6,24.8,3.3,16.2
"manipur",2002,11.6,27.8,11,27.6,6.6,26.4,17.2,32.8,6.2,24.7,3,15.5
"manipur",2003,11.8,28.2,11.1,28.2,6.3,27,17.7,33.3,6.1,24.9,3.5,15.8
"manipur",2004,11.5,27.8,10.8,27.7,6.2,26.8,17.4,32.8,5.9,24.7,2.8,15.8
"manipur",2005,12.1,28.6,11.6,28.6,6.8,27.3,17.7,33.8,6.5,25.3,3.5,15.1
"manipur",2006,12.1,28.5,11.5,28.4,6.5,27.2,18.3,34.2,6.3,25.1,3.5,16
"manipur",2007,11.3,28.5,10.7,28.3,5.9,27.1,17.1,33.6,5.6,25.2,2.5,16.4
"manipur",2008,11.6,28.1,11,27.9,6.3,26.9,17.1,33.5,6,24.9,3.5,15.3
"manipur",2009,12.4,29.1,11.6,28.8,6.4,27.8,19.4,34.4,6.2,25.5,3.5,17.2
"manipur",2010,12,28.6,11,28.3,5.8,27.5,19.1,34.4,5.6,25.4,3.1,17.2
"manipur",2011,11,28.2,10.2,28.1,5.7,27.2,17.6,33.6,5.3,25,3.1,17.2
"manipur",2012,11.1,28.8,10.4,28.7,5.5,27.4,17.6,34.6,5.2,25.4,3.2,17.6
"manipur",2013,10.9,28.6,10,28.4,5.3,27.6,18.2,34.4,5,25.3,3.5,17.8
"manipur",2014,12.4,29.2,11.4,29,6.5,27.9,19.2,35.5,6.2,25.5,3.7,17.4
"manipur",2015,12.1,28.7,11.3,28.6,6.6,27.2,18.3,34.6,6.4,25.4,3.1,16.8
"manipur",2016,12.1,28.9,11.4,28.8,7.1,27.2,18.3,34.4,6.9,25.5,3.4,15.2
"manipur",2017,12.9,28.7,12.3,28.7,7.2,27.3,19.1,33.8,7,25.5,2.9,16.8
"manipur",2018,12.1,28.6,11.4,28.5,6.9,27.2,18.5,33.8,6.7,25.4,3.4,15.7
"manipur",2019,12,29.7,11.6,29.6,6.8,27.8,18.6,35.4,6.7,25.8,3.3,16.1
"manipur",2020,11.7,29,11.2,29,6.7,27.3,18.1,34.7,6.4,25.8,3.6,16
"manipur",2021,12.6,29.4,12.1,29.5,7.3,27.8,19.2,35.9,7.1,25.7,3.8,16.8
"manipur",2022,11.7,29,11.1,28.8,6.8,27.7,17.4,34.6,6.5,25.6,3.6,16.6
"manipur",2023,12.8,29.7,12,29.9,7.5,27.9,19.4,36,7.3,25.8,3.5,16.7
"manipur",2024,12,29.8,11.3,29.8,7,28.1,18.7,35.9,6.8,26.1,3.3,16.3
"manipur",2025,13.2,29.3,12.4,29.3,7.9,27.6,20,35.1,7.8,25.6,3.5,16.1
