"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"meghalaya",1990,13.6,28.9,13.1,28.8,8.9,28.2,18.7,32.9,8.6,26.2,2.9,13.6
"meghalaya",1991,12.4,28.9,12,28.8,7.9,28.2,17.1,33.2,7.5,26.2,2.5,14.4
"meghalaya",1992,12.2,29.4,11.6,29.2,7.4,28.8,17.3,34,7,26.1,3.2,14.1
"meghalaya",1993,12.7,29,12.2,28.9,8.1,28.3,17.5,33.1,7.7,26.3,2.4,14.5
"meghalaya",1994,13.1,29.3,12.5,29.1,8.1,29,18.3,33.9,7.8,26.3,3.3,14.6
"meghalaya",1995,12.9,29.4,12.5,29.2,7.8,29.2,17.9,35.1,7.4,26.4,2.4,15.6
"meghalaya",1996,13.3,29.6,12.9,29.4,8.5,28.7,18.9,34.7,8.1,26.2,2.8,14.3
"meghalaya",1997,12.1,29.1,11.6,28.9,7.3,28.5,17.4,33.3,6.9,26.1,2.7,14.2
"meghalaya",1998,12.9,29.3,12.3,29.1,8.4,28.9,18.4,33.4,8.1,26.3,2.6,14.1
"meghalaya",1999,14,29.1,13.2,28.8,8.9,28.8,20.2,33.9,8.6,26,2.7,15.3
"meghalaya",2000,12.9,29.1,12.4,28.9,8,28.6,18.3,33.5,7.6,26.1,2.9,14.5
"meghalaya",2001,13,29.3,12.5,29.2,7.8,29.3,18.9,33.6,7.5,26.4,3,15.1
"meghalaya",2002,13.3,28.9,12.8,28.7,8.7,28.6,18.5,33,8.3,26,2.6,14.3
"meghalaya",2003,12.7,29.4,12.3,29.2,8,28.9,18.1,33.4,7.7,26.4,3,14
"meghalaya",2004,13,29,12.5,28.9,8.4,28.7,18.3,33.3,8,26.2,2.3,14
"meghalaya",2005,13.6,29.6,13.1,29.5,8.7,29,18.9,33.6,8.4,26.7,2.9,13.5
"meghalaya",2006,13.7,29.7,13.1,29.6,9,29.6,19.3,34.5,8.6,26.6,3.1,14.4
"meghalaya",2007,12.8,29.8,12.3,29.7,7.9,29.4,18.1,34.5,7.5,26.6,2.1,14.8
"meghalaya",2008,13.1,29.2,12.7,29,8.6,28.6,18.1,33.7,8.3,26.4,2.7,14
"meghalaya",2009,13.9,30,13.5,29.8,9.1,29.5,19.7,34.6,8.8,26.8,3,14.9
"meghalaya",2010,13.2,29.6,12.5,29.4,8,29.1,19.7,34.4,7.7,26.8,2.9,15.5
"meghalaya",2011,12.1,29.5,11.7,29.3,7.4,29.4,18,33.6,7,26.5,2.9,15.1
"meghalaya",2012,12.4,29.7,12.1,29.6,7.5,29.7,18.3,34.2,7,26.6,3.1,15.6
"meghalaya",2013,12.2,29.9,11.5,29.8,6.9,29.8,18.5,34.6,6.5,26.8,3.2,15.9
"meghalaya",2014,13.3,29.8,12.9,29.7,8.2,29.6,19.2,35,7.9,26.9,2.5,15.4
"meghalaya",2015,13.3,29.7,12.9,29.7,8.4,28.9,18.9,33.7,8.1,26.9,2.3,14.1
"meghalaya",2016,13.4,29.9,12.9,29.8,9.1,29.3,18.7,34,8.7,27.1,2.9,13.7
"meghalaya",2017,14.6,29.9,14.1,29.8,9.5,29,20.1,33.9,9.2,27.2,2.4,14.4
"meghalaya",2018,13.2,30.1,12.4,29.8,8.9,29.2,18.6,33.9,8.5,27.4,3.2,13.7
"meghalaya",2019,13.5,30.4,13.2,30.3,8.9,29.5,18.8,34.5,8.6,27.5,2.6,14.2
"meghalaya",2020,13.2,30,12.9,29.9,8.9,29.1,18.4,34.3,8.6,27.4,2.5,13.9
"meghalaya",2021,13.7,30.1,13.3,30,9.2,29.3,19.4,34.9,8.9,27.1,3,14.3
"meghalaya",2022,13.2,30.4,12.8,30.3,9.2,29.4,18,34.6,8.9,27.3,2.7,13.9
"meghalaya",2023,13.7,30.6,13.2,30.6,9.2,29.2,19.3,35.4,9,27.4,2.6,13.6
"meghalaya",2024,13,30.7,12.6,30.6,8.7,29.3,18.1,35.8,8.4,27.4,2.3,14
"meghalaya",2025,14,30.2,13.4,30.1,9.7,29,19.3,35,9.5,27.1,2.9,13.7
