"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"mizoram",1990,13.7,28,13.4,27.8,7.4,27.2,20,33.1,7,25.2,3,15.4
"mizoram",1991,12.9,28.2,12.5,28,6.8,27.1,18.9,33.9,6.5,25.2,2.6,16.1
"mizoram",1992,12.5,28.5,11.9,28.3,6.5,27.5,18.6,34.1,6.1,25,2.9,14.8
"mizoram",1993,12.9,27.8,12.5,27.7,6.7,27.2,19.1,32.8,6.3,25,3,16.3
"mizoram",1994,13.6,28.3,13.4,28.1,6.9,27.7,20.2,33.5,6.6,25.2,3.3,16.5
"mizoram",1995,13.1,28.9,12.9,28.6,6.3,28.8,19.8,35,5.8,25.4,3,17
"mizoram",1996,13.6,28.2,13.4,27.8,6.8,27.7,20.5,33.5,6.4,25,2.9,16.7
"mizoram",1997,12.5,28,12.3,27.6,5.7,27.4,18.8,33.4,5.3,24.9,3.1,16.4
"mizoram",1998,13.5,28.5,12.9,28.2,7.3,28.2,19.9,33.4,6.9,25.5,3,16.2
"mizoram",1999,14,28.8,13.5,28.3,7.3,28,20.9,35.1,7.1,25,3.3,18
"mizoram",2000,13.4,28.1,13,27.6,6.7,27.6,19.9,33.7,6.3,25.1,2.9,16.1
"mizoram",2001,13,28.4,12.7,28.2,6,27.8,20.4,34.2,5.7,25.2,3.3,17.4
"mizoram",2002,13.8,28.1,13.3,27.7,7.6,27.5,19.9,33.9,7.2,25.1,2.9,16.8
"mizoram",2003,13.9,28.7,13.5,28.5,7.1,27.9,20.5,34.4,6.8,25.4,3.3,16.5
"mizoram",2004,13.8,28.5,13.4,28.3,7.1,27.6,20.3,34,6.8,25.3,2.5,16.9
"mizoram",2005,14.5,28.9,14.4,28.6,7.9,27.9,20.8,34.2,7.6,25.7,3.3,15.9
"mizoram",2006,13.9,28.7,13.3,28.4,7.4,28,21,34.9,7.1,25.4,3.2,16.4
"mizoram",2007,13.2,28.7,12.6,28.5,6.3,27.7,19.9,34.5,6,25.6,2.4,17.6
"mizoram",2008,13.7,28.8,13.2,28.6,7.3,27.6,19.8,35.5,7,25.4,2.9,16
"mizoram",2009,13.9,29.2,13.5,29,6.9,28.5,21.1,35.2,6.7,25.8,3,17.7
"mizoram",2010,13.8,29,13,28.7,6.7,28.6,21,34.8,6.4,25.8,2.9,17.3
"mizoram",2011,13,28.6,12.4,28.4,6.7,28.1,20,34.4,6.4,25.5,2.6,17.4
"mizoram",2012,13.1,29,12.7,28.8,6.3,28.6,20.4,34.7,6,25.7,3.1,18.1
"mizoram",2013,12.8,29,12.3,28.8,6,28.6,20.3,34.8,5.5,25.7,3.2,18.5
"mizoram",2014,14.2,29.6,13.6,29.7,7.3,29,21.5,36.2,7,26,3.2,17.3
"mizoram",2015,13.8,29.1,13.2,28.9,7.2,28.1,20.7,35.3,7,25.9,2.6,17.9
"mizoram",2016,13.7,29.2,13,29,7.5,28.2,20.8,35,7.2,25.9,3,16.2
"mizoram",2017,14.9,29.2,14.2,29,7.8,27.9,21.9,35.1,7.6,25.9,2.6,17.9
"mizoram",2018,13.5,28.9,12.6,28.8,7.2,28.1,20.7,34.8,7,25.9,2.9,17
"mizoram",2019,14.1,30.2,13.6,29.9,7.6,28.4,21.2,36.8,7.4,26.3,3.2,16.9
"mizoram",2020,13.7,29.3,13.1,29.3,7.3,28.5,20.7,35.8,7.1,26.2,3.5,17.4
"mizoram",2021,14.4,29.7,13.9,29.6,7.6,28.8,21.8,36.7,7.4,26.1,3.5,17.9
"mizoram",2022,13.9,29.5,13.6,29.4,7.4,28.7,20.4,35.8,7.2,26.1,3.8,17.7
"mizoram",2023,14.5,29.9,13.7,30.1,7.5,28.5,21.8,36.8,7.4,25.9,3.5,18
"mizoram",2024,13.6,29.9,12.8,29.8,7.3,28.5,20.7,36.3,7,26.2,3.2,17.2
"mizoram",2025,14.7,29,14.2,28.8,7.9,28.2,22.1,35.2,7.8,25.7,3.3,17.8
