"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"nagaland",1990,11.4,28.5,10.9,28.4,6.8,27.3,16.3,32.1,6.5,25.7,2.9,13.1
"nagaland",1991,10.2,28.5,9.9,28.5,5.8,27.6,15,32.1,5.5,25.9,2.7,13.9
"nagaland",1992,9.7,28.4,9.3,28.4,5.2,27.3,14.7,32.3,4.8,25.4,3.6,13.5
"nagaland",1993,10.6,28.5,10.4,28.4,6.3,27.4,15.1,32.1,5.9,25.7,3,13.6
"nagaland",1994,11,29.1,10.7,29.1,5.9,28.1,16.3,33,5.6,25.9,3.3,14.2
"nagaland",1995,10.8,28.7,10.7,28.6,5.6,27.9,15.8,32.5,5.2,25.8,2.9,14.1
"nagaland",1996,11.2,28.6,11.1,28.6,6.2,27.6,16.4,32.5,5.9,25.6,3.1,14.3
"nagaland",1997,10,28.5,9.8,28.4,5.2,27.3,14.8,32.2,4.8,25.5,3.2,13.6
"nagaland",1998,11.2,28.6,10.8,28.6,6.5,28.1,16.2,32.4,6.2,25.9,3,13.7
"nagaland",1999,11.6,28.6,11.1,28.5,6.6,28,17.7,32.9,6.1,25.6,3,15.5
"nagaland",2000,10.7,28.4,10.5,28.4,5.7,27.6,15.8,32,5.5,25.7,2.9,13.8
"nagaland",2001,11.1,28.8,10.7,28.7,6.2,27.8,16.6,32.5,5.9,25.9,3.3,14.2
"nagaland",2002,11,28.5,10.3,28.4,6.6,27.5,16.2,32.6,6.2,25.7,2.7,13.8
"nagaland",2003,11.2,28.6,10.5,28.6,6.4,27.7,16.6,32.2,6.1,25.8,3.3,13.6
"nagaland",2004,10.8,28.3,10.2,28.2,6.2,27.5,16.1,31.9,5.9,25.6,2.7,14.1
"nagaland",2005,11.4,29.1,10.9,29.2,6.6,27.8,16.5,33,6.3,26.1,3.6,13.7
"nagaland",2006,11.5,29.4,11,29.4,6.5,28.4,17.1,33.6,6.2,26.2,3.5,14.8
"nagaland",2007,10.7,29.1,10.2,29.1,6,28.1,15.8,33.5,5.6,26,2.5,14.5
"nagaland",2008,11.1,28.6,10.5,28.4,6.4,27.4,16.1,32.8,6.1,25.7,3.5,14.2
"nagaland",2009,11.8,29.5,11,29.5,6.6,28.5,18,33.8,6.2,26.2,3.5,15.2
"nagaland",2010,11.4,28.6,10.6,28.4,5.8,27.8,18,32.5,5.6,26,3,15.8
"nagaland",2011,10.6,29,10,28.9,5.7,28,16.8,33.2,5.3,26,3.3,15.3
"nagaland",2012,10.8,29,10.1,29,5.9,28,16.5,33.4,5.6,26,3.1,15.4
"nagaland",2013,10.6,29.3,9.7,29.2,5.5,28.2,17.4,33.6,5.2,26.1,3.6,16.3
"nagaland",2014,11.9,29.2,10.9,29.1,6.5,28.6,18.2,33.9,6.2,26.2,3.4,15.6
"nagaland",2015,11.6,29.1,10.8,29.1,6.6,27.9,17.5,33.3,6.4,26.1,3.3,14.7
"nagaland",2016,11.6,29.5,10.8,29.3,7.2,28.2,17.2,33.5,6.9,26.4,3.3,13.9
"nagaland",2017,12.6,29.5,11.9,29.4,7.5,28.4,18.6,33.5,7.3,26.4,3.2,15
"nagaland",2018,11.9,29.7,11.2,29.5,7.2,28.4,17.7,33.7,6.9,26.5,3.7,13.7
"nagaland",2019,11.5,29.9,11,29.8,6.6,28.3,17.6,34.2,6.4,26.6,3.2,14.3
"nagaland",2020,11.3,29.3,10.8,29.2,6.8,28.1,17,33.6,6.5,26.4,3.2,13.9
"nagaland",2021,12.2,29.7,11.6,29.6,7.5,28,18.2,34.4,7.2,26.5,3.5,14.5
"nagaland",2022,11.1,29.7,10.5,29.4,6.7,28.2,16.3,34.2,6.5,26.6,3.2,14.9
"nagaland",2023,12.3,30.4,11.5,30.3,7.5,28.4,18.3,35.1,7.2,26.9,3.5,14.3
"nagaland",2024,11.3,30.6,10.6,30.6,6.7,28.7,17.4,35.2,6.4,27.2,3.2,14.3
"nagaland",2025,12.6,30.4,11.9,30.2,7.8,28.4,18.8,34.9,7.6,26.9,3.6,13.8
