"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"odisha",1990,18.8,31.7,18.1,31.1,12.5,29.7,23.8,38.4,12.3,28.5,0.6,16
"odisha",1991,17.6,33.7,16.8,33.2,12,30.6,22.8,40.5,11.8,28.7,0.6,15.2
"odisha",1992,17.5,33.3,16.5,32.8,11,30.6,23.5,40,10.8,28.9,0.6,16.3
"odisha",1993,17.9,33.9,17,33.2,11.4,30.6,24.2,40.8,11.1,29,0.6,16.1
"odisha",1994,18.4,33.7,17.5,33.2,12.2,30.6,23.7,40.3,12,29.2,0.6,15.8
"odisha",1995,17.9,33.3,17.4,33.2,12.2,31.2,23,39.9,11.8,28.9,0.6,15.3
"odisha",1996,18.1,34.1,17.1,33.7,11.8,31.2,24.1,40.8,11.5,29,0.6,16
"odisha",1997,17.8,33,16.9,32.5,12,30.7,22.9,39.4,11.7,29.1,0.6,16.1
"odisha",1998,17.7,34.7,16.7,34.1,11.8,31.5,23.3,41.3,11.5,30.2,0.6,15.2
"odisha",1999,17.7,33.7,16.6,32.9,11.2,30.7,23.8,41.2,11,29,0.6,17.1
"odisha",2000,18,33.2,16.9,32.6,11.1,30.9,23.9,40.3,10.9,28.9,0.6,16.7
"odisha",2001,18.3,32.9,17.2,32.3,11.7,30.6,23.8,39.8,11.4,29.1,0.6,16.9
"odisha",2002,18.6,34.5,17.6,33.8,12.4,31.4,24,41.7,12.1,29.4,0.6,16.4
"odisha",2003,17.8,35.3,16.9,34.7,11.9,31.3,23.2,42.1,11.5,29.4,0.6,16
"odisha",2004,18,33.6,17,32.9,11.8,30.9,23.6,40.4,11.5,29.3,0.6,16.8
"odisha",2005,17.9,34.8,16.9,34.2,11.8,31.7,23.7,41.6,11.5,30.1,0.6,16
"odisha",2006,18.9,32.5,17.7,31.8,12.5,30.7,24.4,39.2,12.2,29,0.6,16.7
"odisha",2007,18.8,33.3,17.6,32.5,12.4,30.6,24.4,40,12.2,29.2,0.6,16
"odisha",2008,18.8,33.4,17.8,32.8,12.5,30.5,23.7,40.4,12.2,28.8,0.6,16.6
"odisha",2009,19.1,34.8,18.1,34.2,13.2,32,24.7,42,12.9,29.3,0.6,17.1
"odisha",2010,17.5,34.8,16.4,34,11.4,31.5,23.5,42,11.1,29.6,0.6,16.5
"odisha",2011,17.7,32.2,16.6,31.5,11.1,30.3,23.9,38.9,10.7,29,0.6,16.6
"odisha",2012,17.9,34.6,16.8,33.9,11.8,31.4,23.2,41.3,11.3,29.5,0.6,16.9
"odisha",2013,18.3,33.6,17.2,32.8,12.2,30.6,24,40.8,11.9,28.8,0.6,16.5
"odisha",2014,18.3,33.6,17.2,32.8,12.3,31,23.8,40.4,12,29.2,0.7,15.7
"odisha",2015,18.4,33.2,17.3,32.2,12.7,31,23.8,39.9,12.2,29.2,0.6,15
"odisha",2016,19,34.4,17.7,33.3,12.8,31.2,24.7,41.3,12.5,29.4,0.6,15.6
"odisha",2017,18.9,34.5,17.7,33.5,12.9,31.2,24.3,41.6,12.6,29.4,0.6,15.8
"odisha",2018,17.8,32.9,16.7,32,11.9,30.7,23.4,39.4,11.6,28.9,0.6,16
"odisha",2019,17.9,34.3,17,33.4,12.2,31,23.3,41,11.9,29.2,0.6,15
"odisha",2020,18.2,31.5,17.3,30.9,12.8,30.3,23.2,37.9,12.5,28.8,0.7,14.8
"odisha",2021,19,31.9,17.9,31.1,13.3,30.6,24.1,38.5,13,28.9,0.7,15.8
"odisha",2022,18.6,33.6,17.5,32.5,13,30.8,23.5,40.3,12.7,29.1,0.6,15.3
"odisha",2023,18.9,33.9,17.9,33,13.3,31.3,24.2,40.6,13,29.6,0.7,16.1
"odisha",2024,18.9,33.9,18,33.2,13.8,31.3,23.8,40.4,13.5,29.6,0.6,14.6
"odisha",2025,17.9,32.3,16.4,31.5,11.9,30.4,24,38.9,11.7,28.9,0.7,16
