"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"punjab",1990,4.9,35.3,4.1,34.8,0,33.9,10.5,42.1,-0.7,29.3,4.6,17.9
"punjab",1991,4,34.9,3.3,34.4,-1,33.8,9.8,41.3,-1.9,29.6,5.3,17.3
"punjab",1992,4.4,34.6,3.8,34.2,-0.6,32.7,10.1,41.6,-1.6,28.6,4.2,17.2
"punjab",1993,4.8,36,4.1,35.5,-0.4,34.6,10.5,43.1,-1.2,29.4,4.8,18
"punjab",1994,4.8,35.6,4.1,35.1,0.2,33.4,10.3,43.1,-1,28.6,4.3,17.5
"punjab",1995,4.1,36.6,3.5,36.1,-0.8,34.2,9.5,44,-2,29.8,4.2,18.2
"punjab",1996,5.2,33.9,4.2,33.3,-0.1,33.3,11,41,-1,28.1,4.5,18.9
"punjab",1997,3.5,34.4,2.8,33.9,-1.2,32.9,8.9,40.9,-2.2,29.2,4.3,17
"punjab",1998,5.5,36.4,4.6,35.9,0.7,33.9,11.4,43.9,-0.3,29.7,4.6,18
"punjab",1999,5.8,35,5,34.6,0.7,34.8,11.4,42.1,-0.1,29.6,5,19.1
"punjab",2000,5.2,35.7,4.4,35.4,-0.2,34.7,11,42.2,-0.9,30,5,18.7
"punjab",2001,5.2,34.5,4.5,34,-0.4,33.8,11.3,41.5,-1.3,28.7,5.1,18
"punjab",2002,5.1,36,4.4,35.6,0,35.6,11,43.1,-1,30.3,5.7,18.2
"punjab",2003,4.8,35.8,4,35.3,-0.4,34.2,10.6,43,-1.2,29,4.8,17.8
"punjab",2004,5.5,35.3,4.9,34.8,0.4,34.1,11.1,42.3,-0.5,29.2,5.2,17.7
"punjab",2005,4.8,35.4,4,35.1,-0.3,33.4,9.9,42.1,-1,29.3,4.6,17.8
"punjab",2006,5.8,35.4,5.3,34.9,0.7,33.8,11.2,42.3,-0.1,29.2,4.3,17.3
"punjab",2007,5.5,35.2,4.7,34.9,0.2,34.1,11.4,42.3,-0.5,29.5,5.2,17.6
"punjab",2008,4.7,33.9,4.1,33.6,-0.5,32.9,10.4,40.8,-1.4,28.4,4.4,18.1
"punjab",2009,5.4,35.6,4.9,35.2,0.2,34.2,11.2,42.7,-0.7,29.5,5.4,17.4
"punjab",2010,5.6,36,4.8,35.7,0.8,34,11.3,43,-0.1,29.4,4.3,17.6
"punjab",2011,5,34.8,4.4,34.3,0,32.9,10.4,41.6,-0.9,28.9,4.2,16.7
"punjab",2012,4.1,36.3,3.4,35.8,-0.7,33.8,9.6,42.8,-1.6,30.1,4.7,16.9
"punjab",2013,4.8,35.8,3.8,35.4,-0.2,33.4,10.2,42.8,-0.9,29.6,4,17.2
"punjab",2014,4.4,36.4,3.8,36,-0.4,33.7,10.3,43,-1.3,29.9,4.6,17.1
"punjab",2015,5,34.7,4.1,34.1,0.4,33.1,10.6,41.6,-0.5,28.6,4.3,16.5
"punjab",2016,6.5,35.5,5.8,34.9,1.8,34.3,12.1,42.4,1,30,4.8,17.4
"punjab",2017,5.6,35.4,4.9,34.9,1,34.1,11.3,42.7,0.1,29.6,4.2,17.5
"punjab",2018,5.3,35.6,4.3,34.9,0.1,33.6,11.4,42.5,-0.8,29.7,4.5,17.3
"punjab",2019,4.5,35.7,3.7,35.2,0,33.7,9,42.9,-1,29.5,4.2,17.2
"punjab",2020,5,34.8,4.1,34.3,0.4,33.7,10.7,41.3,-0.6,29.7,4.5,17.1
"punjab",2021,5.7,35,4.7,34.4,0.9,33.3,11.5,41.1,0.2,29.7,4.1,17.2
"punjab",2022,6,36.1,5,35.4,1.3,34.3,11.3,43.5,0.5,29.5,3.7,18.4
"punjab",2023,7.5,33.9,6.6,33.4,2.6,33.1,12.2,40.4,2.3,29.2,4.4,17.1
"punjab",2024,6.9,36.8,6,36.1,3.1,34.1,11.2,44.3,2.6,30.2,4.7,17.3
"punjab",2025,8.8,35.2,7.9,34.6,3.9,33.3,13.4,42,3.2,29.5,3.3,17.8
