"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"rajasthan",1990,13.7,36.2,12.6,36,7.5,35.2,19.9,42.6,7.1,30.6,4.1,17.9
"rajasthan",1991,12.3,36.7,11.4,36.5,6.1,36.2,18.8,43.1,5.7,31.1,4.5,17.6
"rajasthan",1992,13.4,36.7,12.3,36.4,7.2,34.9,19.8,43.5,6.9,30.5,4.2,17.6
"rajasthan",1993,13.6,36.9,12.4,36.6,7.2,36.3,20.3,43.7,6.9,30.7,4.9,18.2
"rajasthan",1994,13.4,37.4,12,37.1,7.1,35.1,19.8,44.3,6.8,30.8,3.8,17.9
"rajasthan",1995,13.1,37.6,11.9,37.2,7.2,37,19,44.6,6.9,30.9,4.3,17.6
"rajasthan",1996,13.3,35.8,11.7,35.6,6.4,35.6,20.7,42.7,6.2,29.8,4.1,18.8
"rajasthan",1997,12.1,35.2,11.1,35.1,6.6,34.4,17.6,41.5,6.3,29.7,4.6,17.2
"rajasthan",1998,12.9,37.4,11.8,37,7,36.4,19.9,44.4,6.6,31.2,4.6,18.1
"rajasthan",1999,12.9,36,12,35.7,7.5,36.1,19.1,42.9,7.3,30.2,4.6,18.6
"rajasthan",2000,13.3,36.4,12.1,36.2,7.2,36.7,19.7,43.1,6.9,30.7,4.8,18.7
"rajasthan",2001,13,36.4,11.8,36.1,6.9,35.5,20.2,43.1,6.6,30.1,4.6,18.1
"rajasthan",2002,13.3,37.4,12.2,37.1,7.1,37.4,20,44.4,6.8,31.4,5.4,18.1
"rajasthan",2003,12.1,36.8,11.2,36.5,6.7,36.2,18,43.6,6.4,30.6,4.3,17.8
"rajasthan",2004,13.2,36.7,12.4,36.4,8.1,36.5,19,43.2,7.7,30.7,4.9,18.2
"rajasthan",2005,12.7,36.5,11.7,36.3,6.6,36,18.7,42.9,6.4,30.5,4.5,17.8
"rajasthan",2006,13.6,36.8,12.6,36.6,7.6,35.7,20,43.5,7.2,30.7,4.1,17.5
"rajasthan",2007,13,36.5,12,36.4,6.8,36.1,19.8,43.1,6.5,30.7,4.7,17.5
"rajasthan",2008,11.8,35.3,11.1,35.2,5.7,35.4,18.2,41.8,5.4,29.8,4.4,18.2
"rajasthan",2009,14.4,36.9,13.5,36.7,8.7,36.5,20.8,43.7,8.4,30.9,4.9,17.4
"rajasthan",2010,12.9,37.8,11.9,37.7,7.3,37,19.2,44.6,7.1,31.4,4.2,17.9
"rajasthan",2011,11.9,36.5,10.8,36.3,5.8,35.4,19.4,43,5.5,30.7,3.9,17.5
"rajasthan",2012,12.1,36.7,11.2,36.4,6.2,35.9,18.6,42.9,5.9,31.1,4,17.4
"rajasthan",2013,12.1,36.7,11.1,36.5,6.3,35.5,18.4,43.3,6,30.7,3.8,17.3
"rajasthan",2014,11.9,37,11,36.7,6.5,36.3,17.9,43.4,6.2,31.1,4.5,17.1
"rajasthan",2015,12.7,36.4,11.7,36,7.2,36.2,18.4,43.5,6.9,30.4,4.3,16.8
"rajasthan",2016,14.5,37.3,13.3,36.8,8.7,36.5,21.4,44.1,8.4,31.6,4,17.7
"rajasthan",2017,13.2,36.6,12.5,36.3,7.7,36.1,19.2,43.6,7.3,30.7,4.2,17.8
"rajasthan",2018,13.2,37.2,12,36.7,6.7,36.7,20.9,44.1,6.4,31.3,3.6,17.9
"rajasthan",2019,11.9,37.4,11,36.9,6.6,36.4,17.5,44,6.4,31.3,4.1,17
"rajasthan",2020,11.9,36.9,11.1,36.5,6.6,35.9,17.7,43.3,6.3,31.3,4.6,17.4
"rajasthan",2021,12.5,35.8,11.5,35.7,6.5,35.9,19,41.9,6.3,30.7,4,18.2
"rajasthan",2022,12.3,37.2,11.4,36.8,7.3,37,17.4,44.3,7.1,31,3.9,18.3
"rajasthan",2023,12.5,35.5,11.7,35.3,6.8,35,19.2,41.8,6.3,30,4.4,17.5
"rajasthan",2024,11.4,38.1,10.6,37.8,6.6,36.5,17,44.6,6.4,32.1,3.8,17
"rajasthan",2025,13.6,36.9,12.5,36.7,8,35.9,20.2,43.9,7.8,30.9,3.6,18.6
