"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"sikkim",1990,-12.1,21.8,-12.3,21.7,-16.1,21,-7.9,25.2,-16.6,19.5,2.9,12.6
"sikkim",1991,-13.6,21.9,-14,21.9,-17,20.9,-9.8,25.2,-18,19.5,3.1,12.9
"sikkim",1992,-13.7,21.8,-14,22.1,-18,20.7,-9.1,26,-18.7,18.9,3.4,13.9
"sikkim",1993,-12.1,21.8,-12.3,21.8,-16,20.7,-7.7,25.1,-16.5,19.5,2.8,13
"sikkim",1994,-13.6,22.3,-13.9,22.3,-17.5,21.3,-9.3,26.3,-18.1,19.6,3.7,13.1
"sikkim",1995,-14.4,22.2,-14.3,22.2,-17.8,21.2,-11,26.2,-18.9,19.6,2.9,13.3
"sikkim",1996,-13.1,22.1,-13.3,22.1,-16.7,20.9,-9.4,26,-17.3,19.5,3,13.4
"sikkim",1997,-13.7,22,-14.1,21.8,-17.9,20.6,-9.4,25.5,-18.4,19.4,3,12.5
"sikkim",1998,-12.4,22.2,-12.7,22,-16.6,21.1,-8.2,25.7,-17.1,19.7,2.9,13.1
"sikkim",1999,-12,21.9,-12.5,21.8,-16.1,20.9,-7.6,25.5,-16.7,19.2,2.7,13.4
"sikkim",2000,-13.6,21.9,-14.1,21.7,-17.4,20.9,-9.5,25.5,-18,19.3,3,13.3
"sikkim",2001,-11.7,22.2,-12.1,22.1,-16,20.9,-6.6,25.9,-16.5,19.4,3.3,13.1
"sikkim",2002,-12.7,22,-12.9,21.7,-16.6,20.7,-8.6,25.5,-17.2,19.4,2.8,12.4
"sikkim",2003,-13.4,22,-13.9,21.9,-17.2,20.9,-9.2,25.6,-17.9,19.4,2.9,12.2
"sikkim",2004,-13.6,21.8,-14.1,21.7,-17.1,21,-9.5,25.4,-18,19.4,3.1,12.3
"sikkim",2005,-12.7,22.3,-13,22.1,-16.2,21.1,-8.6,26,-17.2,19.5,3,12.4
"sikkim",2006,-10.2,22.4,-10.7,22.2,-14.6,20.9,-5.8,26.3,-15.1,19.5,3.3,12.9
"sikkim",2007,-11.7,22.4,-11.8,22.3,-15.6,20.9,-7.5,26.3,-16.3,19.7,2.7,13
"sikkim",2008,-12.5,22,-12.8,21.8,-15.9,20.8,-8.3,25.7,-16.7,19.5,3,12.4
"sikkim",2009,-10.1,22.5,-10.5,22.3,-14.1,21.2,-5.6,26.3,-14.5,19.7,3.1,12.6
"sikkim",2010,-11.2,22.4,-11.7,22.3,-15.2,21.5,-6,26.3,-15.5,19.9,3,12.9
"sikkim",2011,-12.1,22.2,-12.4,22.1,-16.3,21.1,-7.4,26,-16.9,19.8,2.9,13.2
"sikkim",2012,-13.9,22.5,-14.1,22.5,-17.6,21.5,-9.7,26.4,-18.2,20.1,3,13.3
"sikkim",2013,-12.3,22.4,-12.8,22.3,-16.5,21.1,-7.8,26,-17.2,19.8,2.9,13.2
"sikkim",2014,-12.7,22.5,-13.1,22.6,-16.4,21.2,-7.7,26.5,-17.2,20.1,2.9,12.7
"sikkim",2015,-13.7,22.3,-14.2,22.4,-17.3,21.5,-8.9,25.5,-17.8,20,2.6,12
"sikkim",2016,-11.5,22.4,-11.9,22.5,-14.7,21.3,-6.8,25.9,-15.6,20.2,2.3,12.4
"sikkim",2017,-12.3,22.7,-12.8,22.7,-15.6,21.6,-7.6,26.4,-16.4,20.4,2.9,12.7
"sikkim",2018,-11.4,22.5,-12.1,22.5,-14.9,21.2,-7,25.8,-15.6,20.3,2.9,12.9
"sikkim",2019,-14.3,22.7,-14.7,22.7,-17.7,21.1,-9.6,26.4,-18.6,20.3,2.7,12.9
"sikkim",2020,-12,22.5,-12.5,22.4,-15.3,21.4,-7.5,25.8,-16,20.4,2.3,12.7
"sikkim",2021,-10.7,22.7,-11.3,22.6,-13.9,21.4,-5.9,26.4,-14.8,20.3,2.4,12.8
"sikkim",2022,-12.3,22.8,-12.8,22.9,-15.5,21.6,-8,26.4,-16.2,20.2,3,13.1
"sikkim",2023,-10.5,21,-11.2,20.9,-14.2,20,-6.1,24.4,-14.4,18.4,2.6,11.9
"sikkim",2024,-12,21.4,-12.5,21.3,-15.4,19.8,-7.8,25.1,-16,18.8,2.7,11.9
"sikkim",2025,-9.8,21.2,-10.3,21.1,-13.2,19.9,-5.4,24.8,-13.6,18.4,2.8,12.3
