"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"tamilnadu",1990,21,31.8,20.3,31.1,15.6,30.2,24.7,38.1,15.3,28.4,0.7,14.6
"tamilnadu",1991,20.9,32,20.3,31.3,16.4,30.2,24.7,38.4,16.1,28.5,0.7,14.5
"tamilnadu",1992,20,31.7,19.4,31,15,30.2,24.6,38.1,14.6,28.3,0.7,15.4
"tamilnadu",1993,20.6,31.9,19.9,31.2,15.5,30,24.4,38.4,15.2,28.4,0.7,14
"tamilnadu",1994,20.7,31.7,20,31.1,15.9,30.1,24.7,37.9,15.6,28.5,0.7,14.2
"tamilnadu",1995,21,31.1,20.5,30.7,16,30.4,25.2,37,15.7,28.1,0.7,14
"tamilnadu",1996,20.7,31.8,20,31.1,15.8,30,24.4,38.2,15.4,28.4,0.7,14.5
"tamilnadu",1997,21.3,31.7,20.6,31,16.9,30.2,25.1,38,16.5,28.3,0.8,14.2
"tamilnadu",1998,21.3,32.4,20.6,31.6,17.2,30.8,25,38.5,16.8,29.1,0.7,13.3
"tamilnadu",1999,20.7,31.3,20,30.6,15.9,29.9,24.8,37.7,15.6,27.9,0.7,14.2
"tamilnadu",2000,20.7,31.5,20,30.8,15.8,30.2,24.9,38,15.4,28.4,0.7,13.8
"tamilnadu",2001,21,31.9,20.3,31.1,16.6,30.3,25,38.1,16.3,28.4,0.7,13.8
"tamilnadu",2002,21.2,31.8,20.4,31.1,16.2,30.5,25.3,38,15.9,28.4,0.8,14.1
"tamilnadu",2003,21.2,32.3,20.5,31.5,16.6,30.7,25.5,38.7,16.2,28.6,0.7,13.6
"tamilnadu",2004,21.2,31.6,20.4,31,16.1,29.9,25.2,38,15.8,28.2,0.8,14.9
"tamilnadu",2005,21.1,32.1,20.5,31.5,16.5,30.2,24.8,38.2,16.1,28.6,0.7,14.2
"tamilnadu",2006,21.1,31.9,20.3,31.3,15.8,29.9,25.4,38.2,15.6,28.3,0.7,14.2
"tamilnadu",2007,21.1,31.7,20.4,31.1,16.3,30.1,25,38.2,15.9,28.4,0.7,14
"tamilnadu",2008,21.1,31.8,20.3,31,16,29.9,25.2,38.2,15.7,28.2,0.7,14
"tamilnadu",2009,21.4,32.4,20.8,31.7,16.8,30.3,25.3,38.8,16.5,28.5,0.7,14.5
"tamilnadu",2010,21.2,32.4,20.5,31.4,17.5,30.4,24.8,38.9,17.2,29,0.7,13.4
"tamilnadu",2011,21,31.9,20.2,31,15.8,29.8,25.3,38.3,15.4,28.4,0.7,14.3
"tamilnadu",2012,21.4,32.5,20.5,31.6,16.5,30.4,25.6,39.1,16.2,28.7,0.7,14.2
"tamilnadu",2013,21.5,32.5,20.8,31.5,17,30.3,25.4,39.1,16.7,28.8,0.7,13.5
"tamilnadu",2014,21.8,33,21.1,32,17.6,30.5,25.4,39.6,17.3,29.1,0.7,13.9
"tamilnadu",2015,22,31.9,21.1,30.9,18.1,30.2,25.7,37.9,17.8,28.6,0.8,12.8
"tamilnadu",2016,21.9,32.6,21,31.5,17.5,31,25.8,38.7,17.2,29.1,0.7,12.9
"tamilnadu",2017,21.8,32.5,21,31.6,17.4,30.6,25.6,38.7,17.1,28.9,0.7,13.2
"tamilnadu",2018,21.7,31.8,20.9,31,17.2,30.3,25.4,37.7,16.9,28.5,0.7,13.1
"tamilnadu",2019,21.7,33,21,32.1,17.8,30.9,25.7,39.3,17.6,29.2,0.7,13.2
"tamilnadu",2020,21.9,32,21.2,31.2,18,30.6,25.5,38,17.7,28.9,0.7,12.6
"tamilnadu",2021,21.5,31.7,20.8,30.8,17.9,30.2,25.1,37.4,17.6,28.4,0.8,12.6
"tamilnadu",2022,21.5,31.3,20.8,30.4,17.6,30.1,25,37,17.3,28.2,0.7,12.6
"tamilnadu",2023,21.4,32.2,20.6,31.3,16.7,30.6,25.8,38.1,16.4,28.9,0.7,13.7
"tamilnadu",2024,22.1,32.3,21.4,31.5,18.5,31.1,25.4,38.5,18.2,29,0.8,13.1
"tamilnadu",2025,20.9,31.9,20.2,31.1,16.7,30.4,25,37.7,16.5,28.8,0.7,13.1
