"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"telangana",1990,21,32.2,20.2,31.6,14.8,30.9,24.9,38.5,14.5,28.6,0.7,15.7
"telangana",1991,20.1,34,19.3,33.5,14.4,31.7,24.7,40.1,14,29.2,0.6,15
"telangana",1992,19.8,33.7,18.8,33.2,13.2,32,24.6,39.9,12.8,29.2,0.6,16.3
"telangana",1993,20,34.5,18.9,33.9,13.6,31.9,25.2,40.7,13.3,29.4,0.6,15.6
"telangana",1994,20,34.3,19.1,33.7,13.9,31.9,24.7,40.5,13.5,29.7,0.6,15.3
"telangana",1995,20.1,33.8,19.5,33.8,14.5,32.4,24.7,39.8,14,29.5,0.7,14.4
"telangana",1996,20.6,34.3,19.6,33.6,14.7,31.9,25.2,41,14.3,29.3,0.6,15.5
"telangana",1997,20.1,35,19,34.3,14.3,32.5,25.6,41.2,13.8,30.6,0.7,14.6
"telangana",1998,20.1,35,19,34.3,14.3,32.5,25.6,41.2,13.8,30.6,0.7,14.6
"telangana",1999,19.7,33.3,18.6,32.6,13.5,31.8,25.1,39.9,13.1,29.1,0.6,16
"telangana",2000,20.3,33.4,19.3,32.7,13.6,31.6,25.2,39.7,13.2,29.2,0.7,16.1
"telangana",2001,20.7,34.1,19.7,33.4,14.4,32.3,25.1,40,14,29.8,0.7,16
"telangana",2002,20.7,34.2,19.7,33.7,14.5,32.8,25.1,40.3,14.1,29.7,0.7,15.7
"telangana",2003,20.6,35.5,19.6,34.9,14.5,33,24.9,41.8,14.2,30.1,0.6,15
"telangana",2004,20.3,33.3,19.3,32.6,13.9,31.3,25,39.7,13.6,29.1,0.7,16
"telangana",2005,20,34.4,18.9,33.7,13.8,31.7,24.9,40.8,13.5,29.9,0.7,15.8
"telangana",2006,20.6,33.3,19.6,32.7,14.4,31.5,25.2,39.7,14.1,29.3,0.7,16.1
"telangana",2007,20.9,34,19.8,33.4,14.6,31.5,25.4,40.3,14.3,29.6,0.6,15.7
"telangana",2008,21.1,33.8,20.1,33.1,14.8,31.5,25.2,40.5,14.5,29.4,0.7,16
"telangana",2009,21.4,34.1,20.4,33.4,15.6,32.1,25.5,40.7,15.3,29.5,0.6,15.9
"telangana",2010,20.2,34.9,19.2,34,14.5,31.8,24.9,41.4,14.1,30.1,0.7,15.1
"telangana",2011,20.6,33.4,19.5,32.5,14.2,31.1,25.3,39.8,13.9,29.4,0.7,16
"telangana",2012,20.6,34.9,19.6,34,14.9,32.4,24.9,41.3,14.5,30.3,0.7,16.4
"telangana",2013,20.5,34.4,19.4,33.5,14.9,31.4,25.1,40.9,14.5,29.8,0.7,15.2
"telangana",2014,20.7,33.9,19.6,33.1,15.1,31.5,25.2,40.4,14.8,29.8,0.7,14.9
"telangana",2015,21.1,33.9,19.9,32.9,15.7,32.1,25.5,40.5,15.2,29.6,0.7,15.1
"telangana",2016,21.2,35.1,19.8,34,15.1,32.7,25.8,41.5,14.7,30.1,0.7,15.4
"telangana",2017,21.1,34.9,19.8,33.9,15.2,32.3,25.6,41.3,14.8,30.1,0.7,15.5
"telangana",2018,21,34.1,19.8,33.1,15.2,32,25,40.3,14.8,29.6,0.6,15.7
"telangana",2019,21,35.6,19.8,34.6,15.5,32.8,25.1,41.8,15.1,30.5,0.7,14.8
"telangana",2020,21.2,33.7,20.2,32.9,16.2,31.6,25.4,39.7,15.8,29.5,0.7,14.1
"telangana",2021,21.6,32.7,20.5,31.9,16.4,31.4,25.6,38.9,16,29.2,0.7,15
"telangana",2022,21.1,34,20,33,15.8,31.5,25.3,40.4,15.5,29.3,0.7,14.7
"telangana",2023,21.5,34.1,20.4,33.1,15.8,32.2,25.5,40.5,15.5,30.1,0.7,15.6
"telangana",2024,21.7,34.3,20.6,33.4,16.8,32,25.7,40.9,16.4,29.8,0.7,14.2
"telangana",2025,20.3,32.8,18.8,31.9,14.3,31.3,25.3,39,14,29.4,0.7,15.4
