"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"tripura",1990,16.9,29.2,15.9,29.1,11.5,29.4,23.4,33.5,11.2,26.3,3.1,13.7
"tripura",1991,16.1,29.4,15.4,29.3,10.6,29.4,21.5,34.5,10.3,26.5,2.6,14.5
"tripura",1992,16.6,30,15.4,29.9,10.8,30,22.7,35,10.6,26.6,3.1,14.1
"tripura",1993,15.9,29.2,15.2,29.1,10.1,29.2,22.4,33.5,9.6,26.5,2.6,15.1
"tripura",1994,17.3,29.5,16.2,29.3,11.3,30.1,23.2,34.3,11.1,26.6,3.5,15.1
"tripura",1995,16.5,30,16.2,29.8,10.4,31.1,22.9,35,9.8,26.9,2.5,15.8
"tripura",1996,17.3,29.7,16.6,29.4,11.2,30.2,23.8,34.4,10.9,26.4,2.9,14.9
"tripura",1997,16,29.3,15.2,29.1,10,29.6,21.9,33.6,9.7,26.3,2.9,14.9
"tripura",1998,15.5,29.8,14.8,29.5,11.1,30.4,22,33.9,10.8,26.9,2.6,14.4
"tripura",1999,17.7,30.5,16.6,30.2,12,30.1,24.5,35.7,11.7,26.6,2.9,16.2
"tripura",2000,16.7,29.5,16.1,29.3,11.2,30.1,23.1,34.1,10.9,26.4,3,14.5
"tripura",2001,15.9,29.6,15.5,29.4,10.1,30.2,23.2,34.3,9.7,26.6,2.8,15.6
"tripura",2002,17.4,29.2,16.7,29,11.9,29.9,23.3,33.9,11.6,26.3,2.8,15.1
"tripura",2003,15.8,29.9,15.1,29.9,11.1,30.5,22.5,34.6,10.8,26.7,2.9,14.8
"tripura",2004,16.5,29.9,15.9,29.6,11.2,29.9,22.8,34.4,11,26.7,2.5,15
"tripura",2005,17.5,30.1,17.1,30,11.7,30.3,23.5,34.2,11.5,27,2.9,13.9
"tripura",2006,17.5,30.1,16.7,29.9,11.8,30.4,24.2,35.8,11.6,26.7,2.8,14.6
"tripura",2007,16.4,30.2,15.6,29.9,10.5,30.1,23.3,35,10.3,27,2.3,15.6
"tripura",2008,16.8,30,16.6,29.8,11.6,30,22.3,35.4,11.4,26.6,2.8,14.2
"tripura",2009,17.5,30.4,16.9,30.2,11.7,30.7,24.3,35.4,11.4,27.2,3,15.7
"tripura",2010,16.8,30.2,16.1,30,10.9,30.6,23.6,34.9,10.8,27.2,3,15.8
"tripura",2011,15.2,29.9,14.7,29.8,10.3,30.4,22.3,34.5,10,26.9,2.6,15.8
"tripura",2012,15.6,30.1,15.2,30.1,10,31.2,22.5,34.8,9.8,26.9,3.2,16.5
"tripura",2013,15.7,30.4,15.1,30.2,9.6,31.2,22.5,35.3,9,27,2.9,16.6
"tripura",2014,16.6,30.6,15.9,30.7,11.6,31.3,23.1,36.5,11.3,27.4,2.7,15.6
"tripura",2015,16.6,30.2,15.7,30.2,11.4,30.3,23.4,34.9,11.2,27.3,2.4,15.2
"tripura",2016,17,30.4,15.9,30.4,11.7,30.6,23.6,35.1,11.4,27.4,2.9,14.3
"tripura",2017,18,30.3,17,30.2,12.3,30.3,24.3,34.9,12.1,27.2,2.3,15.7
"tripura",2018,15.7,30.2,14.6,30.1,10.9,30,22.2,35.1,10.6,27.2,3,14.8
"tripura",2019,17.1,31.3,16.1,30.9,12.3,30.9,22.9,36.5,12.2,27.7,2.9,14.7
"tripura",2020,16.4,30.5,15.5,30.4,11.2,30.8,22.5,35.7,11,27.6,3,15.1
"tripura",2021,17.1,30.8,16,30.7,11.9,30.8,23.8,36.7,11.8,27.3,3,15.5
"tripura",2022,17.2,30.6,16.4,30.4,12.1,30.8,23.1,35.6,11.9,27.4,3.4,15.2
"tripura",2023,17.4,31.5,16.3,31.4,12.2,30.8,24.1,37.4,12.1,27.6,3,15.5
"tripura",2024,16.6,31.4,15.5,31.2,11.8,31.1,22.4,36.8,11.7,28,2.5,15.1
"tripura",2025,17.6,30.4,16.6,30.2,12.7,30.5,23.4,35.9,12.6,27.1,2.9,15.1
