"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"uttarakhand",1990,-18.8,31.6,-19.7,31.3,-25.4,28.2,-12.9,38.5,-26,26.7,4,18.6
"uttarakhand",1991,-19.5,32.7,-19.5,32.5,-25.1,28.8,-13.9,39.6,-26.2,27,4.1,17.8
"uttarakhand",1992,-18.4,32.1,-18.7,31.9,-24.8,28.5,-12.7,39,-25.7,26.6,3.9,18.2
"uttarakhand",1993,-18.2,32.3,-18.4,31.8,-24.5,28.8,-12.2,38.9,-25.4,26.9,4,18.2
"uttarakhand",1994,-18.4,32.8,-18.6,32.5,-24.1,29.2,-13.1,39.7,-25,27.1,3.8,18
"uttarakhand",1995,-20.3,33.3,-20.5,33.3,-26.7,29.7,-14.8,40.4,-27.4,27,3.8,18.2
"uttarakhand",1996,-18.4,31.1,-18.6,30.7,-24.5,27.9,-12.5,38,-25.4,26.1,3.7,18.1
"uttarakhand",1997,-20.8,30.4,-21.1,30.1,-27,27.6,-15,36.8,-27.7,26.1,4.2,18
"uttarakhand",1998,-18.9,32,-19.5,31.6,-25.5,28.8,-12.9,38.5,-26.1,26.9,3.6,17.6
"uttarakhand",1999,-16.9,32.1,-17.3,31.5,-22.8,28.5,-11.5,39.5,-23.6,26.3,4.1,18.5
"uttarakhand",2000,-19.5,30.6,-19.9,30.1,-26.6,28.2,-13.5,36.9,-27.2,26.1,3.7,18.7
"uttarakhand",2001,-18.5,30.5,-19,30.1,-25.6,28.4,-11.8,36.1,-26.3,26.5,4.6,18.6
"uttarakhand",2002,-18,32.3,-18.4,31.8,-23.9,29.3,-12.6,38.5,-24.7,27.1,3.8,17.7
"uttarakhand",2003,-18.9,31.3,-19.5,30.8,-25.4,28.7,-12.4,38.3,-26.1,26.6,4,18.1
"uttarakhand",2004,-17.7,31.4,-18.3,30.9,-25,28.5,-11.3,37.9,-25.7,26.6,4.5,18.8
"uttarakhand",2005,-17.7,32.8,-17.8,32.6,-22.9,29.1,-13,40.1,-23.9,27,3.9,17.5
"uttarakhand",2006,-18.5,31.5,-18.7,31,-24.5,28.5,-12.6,37.3,-25.3,26.8,4.1,17.5
"uttarakhand",2007,-18.6,31.7,-19.1,31.2,-25.2,28.7,-12,38.1,-26,26.9,3.9,18.3
"uttarakhand",2008,-19.6,30.4,-19.6,29.9,-25,27.6,-13.8,37.1,-26,26.1,3.6,17.9
"uttarakhand",2009,-18.8,32.6,-19.4,32.2,-25.4,29.1,-12.3,39.2,-26.1,27.2,4.3,18.2
"uttarakhand",2010,-18.6,32.7,-19,32.3,-24.4,28.8,-12.5,39.7,-25.1,27,3.3,17.9
"uttarakhand",2011,-18.7,30.8,-18.8,30.5,-24.3,28,-13.4,36.4,-25.1,26.3,3.7,17.2
"uttarakhand",2012,-19.9,33.5,-20.1,33.2,-25.8,29.4,-14.2,40.3,-26.6,27.1,3.7,17.9
"uttarakhand",2013,-19.2,31.6,-19.6,31.3,-25.4,28.6,-13.3,38.1,-26.2,26.7,3.4,17.9
"uttarakhand",2014,-19.5,32.3,-19.3,31.8,-25.9,28.9,-13.9,38.9,-26.7,27.1,4.2,17.9
"uttarakhand",2015,-19.6,31.4,-19.7,30.8,-25.2,28.6,-13.9,37.7,-26.1,26.7,3.8,17
"uttarakhand",2016,-16.2,31.5,-16.7,30.9,-22.7,28.9,-9.1,37.8,-23.4,27.3,4,18.1
"uttarakhand",2017,-18.4,31.5,-18.7,30.9,-24.7,28.6,-12.4,38.1,-25.4,27.1,3.6,17.7
"uttarakhand",2018,-18,31.5,-18.5,30.9,-25,29,-11.1,37.7,-25.6,27.4,3.2,18.3
"uttarakhand",2019,-20,32.4,-20.3,31.7,-25.3,29,-14.8,39.3,-26.1,27.4,4.1,17.3
"uttarakhand",2020,-19.8,30.9,-20.2,30.3,-25.4,28.7,-14.3,35.8,-26.2,27.3,3.8,17.3
"uttarakhand",2021,-19.1,30.8,-19.6,30.1,-25.7,28.8,-12.4,36.6,-26.4,27.1,3.6,18.3
"uttarakhand",2022,-18.8,32.1,-19.3,31.5,-24.8,29,-13.1,38.8,-25.4,27.5,3.5,18.1
"uttarakhand",2023,-17.5,30.8,-18,30.3,-23.9,28.4,-11.4,36.5,-24.5,27.2,3.4,17.4
"uttarakhand",2024,-17.1,32.3,-17.7,31.7,-23.5,29.2,-10.9,38.7,-24.1,27.9,3.5,17.5
"uttarakhand",2025,-17.1,30.7,-17.3,30.1,-23.3,28.6,-11,36.4,-24,27.1,3.3,18.1
