"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"uttarpradesh",1990,-12.9,34.9,-13.3,34.4,-19.3,31.5,-6.1,41.4,-20.3,29.4,3.6,17.9
"uttarpradesh",1991,-12.9,35.2,-13.1,34.8,-19.4,32.6,-6.2,41.7,-20.4,29.4,3.7,17.9
"uttarpradesh",1992,-13.4,35,-13.8,34.6,-20.4,32.4,-5.9,41.7,-21.3,29.3,4,18.2
"uttarpradesh",1993,-11.4,35.4,-11.8,34.7,-17.6,32.4,-4.7,42.4,-18.6,28.9,3.9,17.7
"uttarpradesh",1994,-12,35.9,-12,35.4,-19,32.5,-5.4,42.4,-19.9,29.2,3.8,17.7
"uttarpradesh",1995,-15.4,36.7,-15.6,36.3,-21.2,34.3,-9.3,43.5,-22.5,30.3,3.7,17.8
"uttarpradesh",1996,-14.6,34.8,-15.1,34.4,-20.8,32.5,-7.9,41.6,-21.6,28.7,3.4,18.3
"uttarpradesh",1997,-14.5,33.9,-14.7,33.5,-20.5,31.7,-8.4,40.4,-21.5,27.9,3.7,17.3
"uttarpradesh",1998,-12.9,36.2,-13.4,35.6,-19,32.7,-6.4,42.8,-19.9,29.9,3.6,17
"uttarpradesh",1999,-10.9,35,-11.2,34.4,-17.5,32.5,-4,42.2,-18.3,29,3.9,18.5
"uttarpradesh",2000,-12.7,34.1,-13.2,33.5,-18.9,32.4,-5.8,40.8,-19.9,28.7,3.6,18.4
"uttarpradesh",2001,-11.6,33.8,-12.1,33.2,-18,32.1,-4.8,40.8,-18.9,28,3.8,18
"uttarpradesh",2002,-12.7,35.6,-13.1,35.1,-19,33.7,-6.2,42.1,-20.1,30.3,3.9,17.4
"uttarpradesh",2003,-12.1,35.6,-12.6,35.1,-18.5,32.9,-5.6,42.1,-19.4,28.8,3.4,17.4
"uttarpradesh",2004,-11.8,35.1,-12.3,34.6,-18.7,32.8,-4.5,41.5,-19.5,29.3,4.3,17.8
"uttarpradesh",2005,-12.5,36.2,-12.9,35.7,-18.8,32.6,-6,42.8,-19.6,29.4,3.7,17.7
"uttarpradesh",2006,-10.7,34.4,-11,33.8,-17.3,32.3,-4.1,40.7,-18.1,28.9,3.9,17.5
"uttarpradesh",2007,-11.7,34.8,-12.1,34.2,-18,32.7,-5.1,41.4,-18.9,28.9,3.6,17.1
"uttarpradesh",2008,-11,33.7,-11.4,33,-17.3,31.3,-4.4,40.9,-18.1,27.6,3.4,17.7
"uttarpradesh",2009,-11.2,35.6,-11.6,35,-18,32.9,-4.2,42.2,-18.7,29.4,4.1,17.7
"uttarpradesh",2010,-11.6,36.2,-12,35.7,-17.8,33.2,-4.1,43,-18.8,30,3.9,18
"uttarpradesh",2011,-11.5,34.5,-11.8,34,-17.4,31.8,-5.1,40.9,-18.3,28.4,3.5,17.3
"uttarpradesh",2012,-13,36.5,-13.3,35.9,-19.2,33,-6.7,42.9,-20.2,30.6,3.5,17.4
"uttarpradesh",2013,-12.4,34.8,-12.7,34.2,-19.1,32.1,-5.7,41.7,-20,28.4,3.4,17.5
"uttarpradesh",2014,-14.7,35.1,-15.2,34.5,-20.7,32.6,-7.7,41.9,-21.7,29.2,4.2,17.5
"uttarpradesh",2015,-12.3,35.5,-12.9,34.6,-17.7,32.9,-6.4,42.2,-18.7,29.6,4,16.3
"uttarpradesh",2016,-8.5,35.2,-9.1,34.3,-15.1,32.8,-1.4,41.9,-15.9,29.8,3.8,17.2
"uttarpradesh",2017,-11.3,35,-12.1,34.1,-17.6,32.7,-4,42,-18.5,29.3,3.8,17.4
"uttarpradesh",2018,-10.2,35.6,-10.9,34.6,-16.7,33.1,-3,41.9,-17.4,30.3,3.3,17.2
"uttarpradesh",2019,-13.9,35.8,-14.3,34.8,-18.7,32.7,-7.6,42.7,-20.1,29.9,3.8,16.7
"uttarpradesh",2020,-13.7,33.4,-14.1,32.5,-19.5,32,-6.7,40,-20.5,28.7,3.7,16.8
"uttarpradesh",2021,-10.9,33.1,-11.4,32.2,-17.5,32,-3.8,40,-18.3,28.5,3.3,17.8
"uttarpradesh",2022,-12.3,35.6,-12.9,34.6,-18.3,33.1,-4.7,42.7,-19.3,30.1,3.7,17.9
"uttarpradesh",2023,-10.5,34.5,-11,33.7,-17,32.4,-3.7,41.3,-17.9,29.3,3.7,17
"uttarpradesh",2024,-10.3,36.5,-10.7,35.6,-16.3,33.7,-3.4,43,-17.4,30.8,3.5,17
"uttarpradesh",2025,-10.7,34.2,-11.3,33.5,-17.1,32.4,-3.4,41,-18,29.3,3.3,18.1
