"state","year","mean_2_5","mean_97_5","median_2_5","median_97_5","mode_2_5","mode_97_5","max_2_5","max_97_5","min_2_5","min_97_5","range_2_5","range_97_5"
"westbengal",1990,14.5,31,13.6,30.6,9.2,29.9,21.1,37.5,8.8,27.4,2,15.7
"westbengal",1991,14,31.6,13.4,31.2,8.6,30.6,19.5,38.5,8.2,27.8,2,15.9
"westbengal",1992,14.4,32.1,13.7,31.7,9,31,20.1,39.3,8.6,27.7,2.2,16.1
"westbengal",1993,14.3,30.8,13.6,30.5,8.7,30.3,20.3,37.1,8.3,27.5,2.1,16
"westbengal",1994,15.2,32.4,14.3,31.9,9.7,31,20.5,39.3,9.4,28.1,2.2,16
"westbengal",1995,14.7,33.5,14.3,33.3,8.8,31.8,20.5,40.7,8.3,28.4,2,16.9
"westbengal",1996,15.1,32.5,14.2,32.1,9.6,31.3,20.7,39.7,9.3,27.8,2,16.4
"westbengal",1997,14.1,31.9,13.4,31.6,8.6,30.8,19.6,38.6,8.3,27.7,2.2,15.7
"westbengal",1998,14.3,32.8,13.4,32.4,9.3,31.2,20.2,38.5,9,28.8,2.1,15
"westbengal",1999,15.1,32.1,14.2,31.4,9.5,30.7,21.5,38.7,9.2,27.8,2.1,16.3
"westbengal",2000,14.7,30.9,13.9,30.6,9.2,30.9,20.9,37.2,8.8,27.5,2.2,16.1
"westbengal",2001,14.3,30.8,13.4,30.4,8.2,30.9,21.1,37.2,7.9,27.3,2.2,17
"westbengal",2002,15.4,31.6,14.8,31.2,10.1,31,21,37.6,9.8,27.9,2.1,15.3
"westbengal",2003,13,32.4,12.1,31.9,8.1,31.1,19,39.1,7.7,27.9,2,15.3
"westbengal",2004,14.1,32.6,13.2,32.1,9.2,30.9,20.1,39.6,8.8,28.2,2.1,15.8
"westbengal",2005,15.4,33.6,14.6,33,10,31.3,20.8,40.3,9.7,29,1.9,15.5
"westbengal",2006,15.5,31.6,14.6,31.3,10,31.3,21.9,38.1,9.7,27.8,2,16.3
"westbengal",2007,14.8,32.3,13.9,31.9,9.3,31.1,21.1,39.1,9,28.1,1.9,15.7
"westbengal",2008,15,32,14.3,31.4,9.8,30.6,20.2,39.1,9.5,27.5,2,15.8
"westbengal",2009,15.7,32.8,14.8,32.4,10.4,31.6,22.3,40,10.1,28.2,2,16.2
"westbengal",2010,14.6,33.2,13.6,32.7,9.5,31.7,21.2,40.7,9.2,28.5,2,16.4
"westbengal",2011,13.5,31.1,12.7,30.8,8.4,31.2,20.2,37.1,8.1,27.7,1.9,16
"westbengal",2012,13.9,33.9,13.3,33.5,8.8,31.9,19.9,40.9,8.5,28.9,2.1,16.5
"westbengal",2013,13.8,31.6,13.1,31.3,8.2,31.6,20.2,38.1,7.8,27.8,2.1,16.1
"westbengal",2014,14.2,33.3,13.3,32.7,9.6,31.5,19.9,40.3,9.2,28.4,2.1,15.9
"westbengal",2015,14.6,32.4,13.6,31.9,9.7,31.1,20.3,38.3,9.3,28.6,1.9,14.5
"westbengal",2016,15,33,14.1,32.3,10.2,31.3,20.6,40.4,9.8,28.4,2,15.4
"westbengal",2017,15.4,32,14.3,31.6,10.2,31,21.7,38.6,9.8,28.4,1.9,15.5
"westbengal",2018,13.4,31.7,12.3,31.3,8.5,31.2,19.5,37.6,8.2,28.3,2.1,15.7
"westbengal",2019,14.3,32.8,13.2,32.1,9.2,31.4,19.8,39.5,8.8,28.8,2,15.6
"westbengal",2020,14.4,31.2,13.3,30.9,9.5,31,20.1,36.5,9.2,28.4,2,15.1
"westbengal",2021,14.3,31.3,13.4,31,9.7,31,20.3,37.7,9.3,28.2,1.9,15.7
"westbengal",2022,14.5,32.2,13.7,31.6,10.1,31.5,19.9,38.5,9.8,28.6,2.1,14.8
"westbengal",2023,14.6,33.6,13.6,32.9,10.1,32,20.7,40.3,9.7,29.1,2.5,15.4
"westbengal",2024,14.2,33.5,13.3,33.1,9.6,32.3,19.5,40,9.3,29.4,2.4,15.1
"westbengal",2025,14.8,32,14.1,31.7,10.7,31.3,19.8,37.6,10.4,28.4,2.5,15
